cds14,year,ela_pct_met,math_pct_met,ela_mean,math_mean,ela_n,math_n
01100170112607,2023,51.11,17.78,2560.3,2484.1,45,45
01100170130625,2023,23.08,3.7,2455.1,2431.9,29,27
01100170136101,2023,73.33,43.33,2642.1,2576.2,30,30
01316170131763,2023,0.0,0.0,2407.6,2401.7,35,35
01611190106401,2023,90.32,77.42,2687.4,2689.7,31,31
01611190119222,2023,17.86,14.29,2474.9,2454.5,28,28
01611190130229,2023,79.85,52.32,2656.8,2630.0,412,410
01611190130609,2023,72.09,40.0,2629.2,2595.2,44,45
01611190132142,2023,71.86,38.27,2635.1,2581.3,200,196
01611190134304,2023,29.63,0.0,2520.5,2431.7,28,27
01611270130450,2023,84.23,67.5,2687.3,2682.4,241,240
01611430131177,2023,58.02,49.77,2594.4,2606.1,662,669
01611430134924,2023,16.67,0.0,2442.7,2393.9,18,17
01611500132225,2023,72.08,52.27,2635.6,2633.9,619,619
01611500133876,2023,62.5,25.0,2633.1,2540.2,16,16
01611500135533,2023,17.07,2.08,2473.8,2450.9,41,48
01611680132746,2023,58.97,20.51,2609.9,2514.8,39,39
01611760130062,2023,87.7,72.0,2704.6,2704.1,555,550
01611760130138,2023,25.93,3.66,2510.2,2436.8,81,82
01611760130435,2023,41.67,50.0,2596.7,2641.9,12,12
01611760130534,2023,54.88,29.63,2600.2,2568.5,82,81
01611760134270,2023,81.87,73.69,2685.6,2704.5,538,537
01611760134452,2023,67.43,36.93,2626.6,2572.1,308,306
01611760135244,2023,95.3,93.32,2727.6,2773.9,404,404
01611760138693,2023,69.03,52.0,2640.9,2618.1,423,425
01611920108670,2023,63.31,27.01,2608.0,2552.2,141,137
01611920127944,2023,39.22,5.88,2546.8,2478.5,51,51
01611920133009,2023,4.65,0.0,2420.5,2414.1,44,42
01611920133629,2023,56.38,22.6,2590.2,2533.1,394,385
01611920135319,2023,56.05,19.61,2581.8,2520.2,412,411
01611920137646,2023,74.04,27.18,2640.1,2539.8,104,103
01611920138339,2023,29.23,9.07,2502.4,2456.4,326,376
01612000132670,2023,16.67,2.94,2498.9,2423.9,82,80
01612000133397,2023,71.52,50.85,2639.4,2628.8,468,472
01612000134536,2023,61.82,34.91,2617.2,2568.3,385,381
01612340130054,2023,53.89,24.21,2574.7,2529.6,347,347
01612340130484,2023,18.18,9.09,2496.3,2439.4,11,11
01612340135426,2023,11.76,0.0,2464.7,2432.9,34,37
01612420110460,2023,10.71,0.0,2457.8,2399.0,57,55
01612420126763,2023,47.37,16.07,2570.5,2510.3,57,56
01612420134668,2023,60.96,34.42,2607.7,2558.2,689,681
01612590100065,2023,56.1,18.29,2594.5,2536.5,82,82
01612590100701,2023,26.15,7.81,2514.7,2477.2,65,64
01612590106906,2023,44.23,5.77,2556.6,2482.1,52,52
01612590108944,2023,57.53,1.37,2584.3,2468.2,73,73
01612590110189,2023,31.15,1.82,2498.1,2437.8,61,55
01612590111856,2023,67.03,58.24,2625.1,2641.1,92,91
01612590112797,2023,46.88,10.94,2559.3,2488.6,64,64
01612590114868,2023,46.39,25.77,2571.5,2540.8,97,97
01612590115238,2023,46.81,13.83,2557.2,2531.9,94,94
01612590115667,2023,0.0,0.0,2356.5,2388.0,40,41
01612590118224,2023,39.39,4.55,2541.0,2470.5,66,66
01612590125161,2023,3.19,1.12,2419.3,2396.3,98,89
01612590125716,2023,15.56,1.6,2459.0,2407.3,182,187
01612590126748,2023,21.95,3.66,2515.8,2450.2,82,82
01612590129932,2023,67.65,36.36,2617.3,2585.5,34,33
01612590130575,2023,57.14,19.35,2589.3,2509.3,63,62
01612590130617,2023,71.21,13.64,2626.3,2508.0,66,66
01612590130666,2023,68.25,9.52,2626.3,2512.7,64,63
01612590132688,2023,0.0,,2377.9,,17,
01612590134015,2023,20.41,0.0,2500.0,2437.3,49,49
01612590135905,2023,32.01,12.12,2516.4,2473.3,286,265
01612590136051,2023,42.76,28.25,2554.3,2527.9,306,319
01612590137943,2023,38.1,19.69,2533.0,2503.0,290,257
01612593030772,2023,88.1,46.99,2690.0,2613.0,84,83
01612596066450,2023,41.18,11.49,2545.0,2481.3,92,87
01612596114011,2023,36.36,23.53,2549.6,2547.7,36,34
01612750130286,2023,66.67,37.5,2600.1,2576.5,13,16
01612750136515,2023,89.47,76.84,2704.3,2712.8,171,177
01612910134528,2023,16.67,1.45,2468.4,2420.3,73,69
01612910137588,2023,41.91,17.54,2552.5,2502.9,576,570
01612910141473,2023,37.5,0.0,2536.9,2473.7,16,16
01613090111799,2023,42.86,8.33,2555.4,2463.1,14,12
01613090114421,2023,73.83,47.68,2659.3,2601.1,149,151
01613090130849,2023,66.21,35.42,2615.4,2581.7,373,367
01613090137745,2023,5.26,5.26,2449.2,2446.4,24,20
01613090137810,2023,36.43,11.86,2529.3,2494.4,275,238
01750930132704,2023,84.51,72.04,2681.5,2694.6,843,838
01750930138453,2023,36.84,0.0,2558.6,2481.8,19,19
01751010130096,2023,85.77,69.58,2687.9,2689.1,486,480
01751010130252,2023,0.0,0.0,2464.7,2481.4,15,16
01751010130583,2023,83.93,70.88,2683.4,2693.1,586,577
01771800138289,2023,43.4,24.07,2571.7,2548.0,53,54
03739810330019,2023,20.83,0.0,2508.7,2413.9,24,21
03739810330050,2023,60.0,5.26,2594.3,2481.0,20,19
03739810330753,2023,72.54,26.09,2632.8,2534.2,143,138
03739810334755,2023,55.2,18.11,2594.8,2517.2,125,127
04100410114991,2023,57.27,21.82,2593.4,2543.3,112,112
04100410134213,2023,11.11,0.0,2466.2,2413.9,18,18
04100410430090,2023,40.0,12.5,2578.3,2526.1,15,16
04614080430827,2023,52.0,12.0,2597.4,2515.5,50,50
04614240120394,2023,83.52,50.55,2667.3,2621.6,91,91
04614240137828,2023,31.25,12.5,2555.9,2508.9,16,16
04614240141069,2023,36.67,10.34,2557.7,2489.3,30,29
04614240431502,2023,11.11,2.22,2466.6,2438.3,45,45
04614240431676,2023,71.18,35.67,2636.1,2576.1,458,457
04614240437558,2023,70.92,42.82,2635.4,2598.2,393,390
04614320433201,2023,60.56,38.57,2606.5,2592.2,71,70
04615150434803,2023,50.0,18.53,2581.4,2523.1,267,260
04615150435602,2023,51.41,16.95,2571.0,2506.1,178,177
04615150437566,2023,,0.0,,2393.0,,22
04615310432856,2023,27.78,5.56,2525.5,2476.4,18,18
04615310437350,2023,35.0,19.79,2528.1,2511.1,100,97
04615316112585,2023,29.41,0.0,2551.4,2458.2,17,18
04755070433946,2023,26.67,6.25,2515.4,2443.2,15,16
04755070433953,2023,75.52,44.76,2632.7,2607.1,143,143
05100580530154,2023,38.89,8.57,2563.6,2496.9,36,35
05615560530014,2023,32.26,3.45,2522.7,2461.6,31,29
05615560532507,2023,63.71,24.39,2606.9,2557.5,125,123
05615640530022,2023,33.33,0.0,2526.4,2479.4,28,27
05615640530055,2023,30.77,15.38,2562.5,2473.3,13,13
05615640531509,2023,52.11,14.58,2582.1,2519.5,143,144
06615980630046,2023,28.57,0.0,2560.9,2430.5,14,14
06615980631259,2023,47.92,18.95,2564.9,2527.8,96,95
06616060634758,2023,31.82,5.0,2525.4,2495.4,22,20
06616140635250,2023,34.07,15.22,2532.7,2507.0,135,138
06616220637504,2023,48.31,11.24,2580.8,2511.8,89,89
07100740114470,2023,51.76,14.12,2584.1,2511.9,85,85
07100740129684,2023,61.9,15.38,2613.0,2521.4,67,67
07100740134114,2023,50.0,11.11,2580.5,2502.5,38,36
07100740137026,2023,45.9,34.43,2570.7,2556.5,61,61
07100740731380,2023,65.77,40.43,2620.4,2600.3,558,554
07616300107524,2023,76.92,28.57,2684.4,2537.4,13,14
07616300730283,2023,83.09,68.71,2672.8,2681.5,278,278
07616300731125,2023,86.71,72.42,2686.2,2696.3,331,330
07616300733725,2023,77.07,54.12,2653.6,2638.7,364,365
07616300734244,2023,84.7,69.86,2689.9,2696.3,281,282
07616480110494,2023,10.91,1.96,2478.1,2405.9,55,51
07616480117218,2023,78.34,23.53,2646.2,2547.7,158,154
07616480730101,2023,11.11,0.0,2484.7,2420.9,72,71
07616480730259,2023,29.31,1.67,2529.3,2445.2,58,60
07616480730465,2023,56.06,18.2,2583.0,2512.0,421,423
07616480730861,2023,33.0,5.39,2520.0,2470.8,405,409
07616630130930,2023,57.75,14.08,2599.0,2522.6,71,71
07616970737023,2023,48.84,26.51,2570.1,2547.1,86,85
07617210107797,2023,72.26,43.62,2637.0,2598.9,674,674
07617210730457,2023,55.23,16.41,2590.8,2513.9,574,579
07617210730572,2023,46.77,11.29,2574.9,2498.8,62,62
07617210733980,2023,64.77,26.5,2613.4,2560.8,596,600
07617210733998,2023,11.86,0.0,2472.2,2421.0,59,58
07617390730440,2023,19.05,0.0,2496.5,2451.0,22,23
07617390730473,2023,53.85,0.0,2574.9,2417.1,13,13
07617390730549,2023,53.91,26.09,2583.2,2538.8,257,253
07617540730044,2023,80.66,53.59,2675.6,2641.6,362,362
07617540730317,2023,65.71,15.63,2608.9,2541.2,35,32
07617540730358,2023,8.57,0.0,2444.3,2411.0,36,30
07617540731646,2023,69.2,47.59,2632.9,2612.2,465,456
07617540731836,2023,46.39,11.2,2564.2,2495.4,263,259
07617540734566,2023,37.75,12.77,2535.7,2473.3,361,376
07617540734764,2023,1.52,0.0,2399.9,2393.6,67,63
07617540737809,2023,36.14,6.37,2534.2,2465.4,257,253
07617880730184,2023,3.92,0.0,2420.5,2402.8,102,102
07617880735407,2023,29.79,10.05,2508.8,2481.3,877,877
07617960101477,2023,40.0,12.82,2543.4,2506.9,122,119
07617960132100,2023,63.64,9.21,2614.8,2487.9,77,76
07617960133637,2023,44.66,12.62,2565.4,2482.4,103,103
07617960730291,2023,91.67,58.33,2688.3,2643.9,60,60
07617960730325,2023,38.18,14.04,2539.7,2522.8,56,57
07617960730598,2023,62.65,27.71,2604.5,2556.9,166,166
07617960732164,2023,38.13,14.23,2535.7,2477.5,279,281
07617960732941,2023,67.74,31.27,2624.3,2575.4,310,308
07617960733253,2023,6.09,0.0,2425.1,2395.7,115,120
07617960733659,2023,21.05,4.44,2471.4,2437.9,41,94
07617960735316,2023,52.0,17.75,2570.2,2532.3,276,276
07617960735902,2023,43.92,5.02,2548.4,2467.9,297,301
07618040113118,2023,86.65,77.16,2689.5,2712.9,661,649
07618040730051,2023,76.35,52.08,2648.8,2634.8,669,626
07618040730218,2023,84.62,15.38,2649.5,2565.4,13,13
07618040734368,2023,88.91,66.54,2692.2,2664.7,532,517
07618040736504,2023,68.78,42.86,2620.6,2597.1,490,490
07618040736819,2023,16.67,0.0,2525.6,2437.9,12,11
07773540132233,2023,26.03,9.59,2521.5,2477.3,73,73
08100820830059,2023,31.08,8.22,2509.6,2440.8,74,73
08618200833004,2023,43.45,18.06,2555.1,2500.0,174,162
08618200836205,2023,28.57,0.0,2512.4,2426.0,42,41
09100900136036,2023,67.57,37.84,2628.4,2589.0,37,37
09100900930123,2023,56.82,24.14,2601.8,2540.7,88,87
09618380136200,2023,66.27,27.71,2612.7,2556.6,83,83
09618380139006,2023,63.45,24.14,2602.1,2549.1,145,145
09618530930081,2023,75.29,57.63,2645.7,2638.0,599,590
09618530930164,2023,55.47,28.05,2589.9,2552.3,247,246
09618530930214,2023,75.0,28.57,2617.8,2576.4,28,28
09618530932756,2023,56.99,29.79,2591.2,2570.1,279,282
09618530934554,2023,30.19,4.35,2514.2,2451.0,53,46
09618530936302,2023,75.98,42.33,2640.9,2607.2,383,378
09619030930040,2023,14.29,0.0,2484.6,2424.6,28,28
09619030937805,2023,54.66,25.31,2584.9,2549.9,247,245
09737830121566,2023,64.0,4.0,2598.5,2532.8,25,25
09737830930073,2023,37.5,20.0,2531.9,2496.6,72,70
10101080109991,2023,38.37,4.08,2542.5,2467.4,344,343
10101080119628,2023,17.05,2.35,2486.4,2421.6,88,85
10101080136291,2023,64.44,31.11,2610.3,2572.2,45,45
10101081030337,2023,2.86,0.0,2414.6,2363.0,35,34
10101081030899,2023,,0.0,,2413.0,,11
10621170113555,2023,95.8,64.95,2735.6,2666.9,571,545
10621170118018,2023,55.56,23.08,2572.1,2528.1,171,172
10621171030196,2023,82.17,51.56,2665.5,2618.8,473,481
10621171030469,2023,72.22,29.41,2619.1,2518.1,18,17
10621171030501,2023,87.24,49.32,2679.8,2609.4,588,585
10621171030683,2023,75.39,37.36,2642.6,2585.7,644,637
10621171031004,2023,27.2,2.46,2512.6,2437.0,125,122
10621171031053,2023,82.28,43.37,2669.6,2604.9,650,642
10621251030113,2023,0.0,,2422.5,,18,
10621251031376,2023,37.13,6.25,2531.0,2468.8,273,272
10621581031954,2023,16.67,0.0,2486.7,2391.2,12,12
10621581032150,2023,62.15,21.47,2607.1,2541.4,177,177
10621660108555,2023,82.76,56.9,2668.5,2643.4,58,58
10621660114355,2023,65.38,7.69,2603.6,2500.9,52,52
10621660114553,2023,98.21,86.61,2757.3,2719.0,112,112
10621660132134,2023,73.91,32.61,2638.7,2571.2,46,46
10621660140038,2023,55.17,27.59,2623.9,2540.4,29,29
10621661030279,2023,55.08,16.57,2587.4,2518.3,541,537
10621661030287,2023,29.76,3.72,2524.3,2458.8,258,244
10621661030295,2023,55.56,13.67,2583.6,2512.0,256,256
10621661030584,2023,7.87,0.0,2446.3,2414.4,150,127
10621661030642,2023,34.62,0.0,2531.9,2449.0,52,52
10621661030675,2023,46.17,9.87,2555.6,2486.9,600,599
10621661030840,2023,24.27,1.94,2501.7,2415.1,103,103
10621661031632,2023,11.32,0.0,2469.7,2433.5,53,52
10621661031897,2023,66.18,33.03,2618.6,2565.2,553,549
10621661032507,2023,36.91,10.68,2534.3,2488.5,372,370
10621661032911,2023,45.26,9.91,2551.5,2487.4,423,424
10621661034214,2023,30.11,5.41,2517.7,2459.8,438,427
10621661035831,2023,46.12,12.12,2558.9,2494.6,465,464
10622570124727,2023,47.06,5.88,2586.4,2461.2,17,17
10622571033695,2023,70.04,35.14,2621.9,2585.1,257,259
10622571033729,2023,17.24,0.0,2492.4,2428.1,29,29
10622650108092,2023,68.47,33.63,2617.6,2560.4,111,113
10622650116640,2023,68.42,23.68,2618.7,2508.0,38,38
10622650126292,2023,90.74,48.15,2720.3,2633.4,54,54
10622651030378,2023,17.81,1.37,2480.3,2415.8,74,73
10622651033703,2023,36.84,3.16,2558.1,2463.6,95,95
10622651035310,2023,76.01,38.07,2642.1,2593.6,371,373
10622811033950,2023,25.0,12.5,2533.7,2541.4,24,24
10623310137661,2023,60.71,18.75,2588.6,2529.4,112,112
10623640126870,2023,10.53,5.88,2457.7,2410.8,20,18
10623641034990,2023,33.98,6.2,2520.7,2461.3,259,258
10623800136499,2023,20.0,0.0,2504.8,2451.2,70,70
10624140141291,2023,57.24,28.52,2591.8,2559.4,304,305
10624141030451,2023,55.17,19.64,2597.8,2522.3,58,56
10624141036086,2023,13.64,0.0,2441.5,2389.6,23,21
10624141036094,2023,64.29,29.26,2616.8,2559.0,560,564
10624301030758,2023,25.0,0.0,2518.8,2438.1,33,32
10624301036607,2023,14.81,,2495.6,,27,
10624301036672,2023,48.96,16.25,2566.1,2510.6,433,437
10625396112387,2023,40.48,5.13,2568.1,2449.8,42,40
10625470135103,2023,68.04,37.11,2629.9,2572.3,97,97
10625470136523,2023,29.07,5.07,2516.5,2462.0,375,375
10738091030121,2023,65.49,12.5,2610.4,2518.0,142,144
10739650140269,2023,55.81,9.09,2583.0,2509.6,43,44
10739650140509,2023,66.4,26.72,2621.9,2545.4,378,378
10739651030386,2023,21.74,0.0,2513.0,2443.4,69,69
10739651030626,2023,48.14,15.53,2568.8,2521.2,376,381
10739651030790,2023,57.89,15.79,2594.4,2505.7,190,190
10739651035112,2023,9.8,0.0,2448.7,2430.5,51,51
10739990141036,2023,25.81,1.64,2525.1,2432.3,62,61
10739991033422,2023,13.64,0.0,2525.4,2424.8,22,20
10739991033430,2023,64.41,18.24,2612.8,2521.8,340,340
10751271030261,2023,10.53,5.26,2440.4,2430.1,19,19
10751271030493,2023,54.69,17.65,2587.5,2520.7,256,255
10752341037456,2023,29.47,6.06,2525.0,2483.7,97,99
10752751036938,2023,45.24,17.65,2560.9,2526.7,84,85
10752756112544,2023,8.33,,2488.3,,12,
10754081030253,2023,18.18,9.09,2445.6,2419.5,11,11
10754081035575,2023,45.67,21.09,2572.7,2540.1,127,128
10755981030535,2023,61.25,13.29,2605.9,2504.7,160,158
10767780122473,2023,4.0,0.0,2453.1,2405.9,25,26
10767781030774,2023,32.14,7.14,2512.1,2465.6,28,28
10767781038306,2023,56.98,15.27,2593.3,2504.2,267,262
11101161130103,2023,55.56,5.88,2568.3,2511.4,18,17
11625960139550,2023,51.72,24.14,2593.5,2526.1,29,29
11626461136209,2023,14.29,0.0,2530.4,2481.9,14,14
11626611132851,2023,43.52,24.07,2552.2,2519.2,108,108
11754811130012,2023,16.0,0.0,2473.3,2409.5,25,25
11754811135656,2023,46.11,13.86,2587.2,2521.6,167,166
11765621133701,2023,42.65,21.74,2560.3,2521.0,68,69
12101240106153,2023,20.0,0.0,2481.3,2442.4,20,20
12101240106161,2023,11.11,0.0,2434.7,2395.2,20,20
12101240137364,2023,36.84,15.79,2554.0,2531.3,19,19
12626870107110,2023,65.38,38.46,2600.4,2584.8,26,26
12626871230044,2023,42.11,5.26,2530.0,2443.7,19,19
12626871230051,2023,18.18,0.0,2464.7,2434.3,22,22
12626871230705,2023,64.89,38.84,2630.3,2579.7,227,224
12626871235209,2023,52.17,27.59,2576.0,2539.3,117,116
12628100108688,2023,89.19,72.97,2695.3,2693.9,37,37
12628101233352,2023,10.53,,2421.3,,19,
12628101233402,2023,37.81,8.54,2548.9,2498.2,201,199
12629011230028,2023,0.0,0.0,2427.1,2444.4,14,15
12629011234004,2023,48.28,21.43,2563.1,2514.6,58,56
12630320111203,2023,29.27,0.0,2546.3,2473.5,41,41
12630401237007,2023,44.64,5.36,2541.7,2485.9,56,56
12753741232909,2023,36.84,18.42,2564.0,2490.0,38,38
12755151232057,2023,11.54,,2471.3,,26,
12755151232206,2023,52.73,21.66,2586.4,2536.1,275,277
13101320131094,2023,11.43,3.03,2459.1,2409.4,35,33
13630811331354,2023,26.26,0.97,2513.8,2444.3,99,103
13630811331404,2023,53.41,17.57,2577.4,2502.2,410,404
13630991332154,2023,8.93,0.0,2430.3,2429.6,57,60
13630991332204,2023,48.79,14.57,2575.4,2491.0,701,707
13631071332501,2023,45.71,25.71,2580.8,2544.1,70,70
13631150140954,2023,44.44,15.38,2596.8,2481.1,18,13
13631151330133,2023,54.57,25.56,2595.6,2543.1,396,399
13631151333004,2023,58.42,18.23,2596.1,2531.6,404,406
13631151333558,2023,22.86,0.0,2557.4,2446.0,35,35
13631491335306,2023,51.54,28.46,2590.3,2552.2,130,130
13631641331115,2023,16.67,0.0,2492.7,2430.2,36,35
13631641335900,2023,66.78,23.88,2621.6,2542.3,289,289
13632141337609,2023,37.5,12.12,2550.7,2467.8,40,33
14101400117994,2023,6.03,0.9,2453.0,2414.1,116,111
14101400128447,2023,17.65,0.0,2461.8,2410.3,18,11
14101400128454,2023,12.28,0.0,2474.2,2429.3,58,46
14632891434901,2023,59.26,26.92,2611.1,2547.7,27,26
14766871430057,2023,0.0,,2458.7,,12,
14766871431600,2023,39.42,27.01,2551.1,2546.6,137,137
15101570119669,2023,76.0,36.24,2660.3,2593.0,150,149
15101570135467,2023,54.55,18.18,2593.4,2551.8,22,22
15101571530302,2023,0.0,0.0,2409.0,2369.1,35,34
15101571530310,2023,15.0,0.0,2458.2,2407.7,80,78
15101571530492,2023,60.0,22.97,2605.5,2537.3,75,74
15634120100529,2023,70.45,30.15,2626.9,2570.8,335,335
15634120116384,2023,61.02,20.77,2607.5,2537.0,313,313
15634121531656,2023,13.73,0.0,2484.1,2419.0,51,50
15634121531672,2023,65.29,26.37,2614.7,2552.3,291,292
15635290100198,2023,56.87,14.43,2591.7,2511.0,676,677
15635290110999,2023,71.16,29.89,2631.0,2566.2,475,475
15635290116392,2023,58.95,16.58,2596.5,2510.4,573,570
15635290116400,2023,33.33,5.73,2526.0,2468.6,582,575
15635290125062,2023,9.45,0.0,2467.6,2424.0,134,133
15635291530021,2023,13.56,1.69,2479.5,2427.0,59,59
15635291530047,2023,12.99,1.3,2496.4,2442.8,77,77
15635291530112,2023,8.46,1.0,2447.4,2419.1,204,203
15635291530252,2023,50.28,13.34,2578.0,2513.9,576,582
15635291530344,2023,71.96,41.3,2643.6,2597.4,513,511
15635291530369,2023,61.89,37.38,2611.6,2583.2,513,519
15635291530385,2023,57.02,16.35,2584.2,2515.4,694,694
15635291530435,2023,11.91,0.28,2480.2,2422.1,362,355
15635291530476,2023,68.93,35.61,2618.2,2572.5,546,543
15635291530708,2023,49.01,16.72,2557.7,2506.2,661,656
15635291532290,2023,54.47,11.66,2579.6,2494.5,514,506
15635291532605,2023,46.27,15.8,2563.5,2508.2,430,428
15635291533330,2023,60.63,18.6,2603.4,2536.1,580,579
15635291533538,2023,26.53,9.28,2515.9,2475.0,98,97
15635291534775,2023,41.22,7.09,2551.9,2470.7,441,439
15635291535087,2023,44.17,7.61,2559.8,2488.9,383,380
15635291535392,2023,57.25,16.51,2591.1,2517.2,553,549
15635291536325,2023,7.69,0.0,2444.3,2412.7,121,121
15635291536606,2023,50.28,10.24,2566.3,2488.9,377,389
15636280127209,2023,24.3,3.74,2513.4,2455.9,107,107
15636280134312,2023,67.93,25.82,2619.8,2556.3,200,201
15636280137687,2023,53.26,24.18,2574.3,2532.4,92,91
15636280138131,2023,67.68,25.0,2620.3,2540.3,164,164
15636281533843,2023,65.22,4.55,2599.1,2469.1,23,22
15636770114512,2023,42.86,9.62,2560.3,2476.1,154,156
15636770136259,2023,32.26,4.0,2537.4,2427.4,31,25
15636851530997,2023,28.57,14.29,2525.6,2484.3,28,28
15636851531987,2023,53.97,20.97,2578.3,2526.3,64,62
15637761530039,2023,7.14,,2466.2,,14,
15637761530377,2023,28.57,0.0,2517.9,2466.3,21,21
