cds14,year,ela_pct_met,math_pct_met,ela_mean,math_mean,ela_n,math_n
04614320433201,2019,61.19,41.18,2612.6,2597.4,67,68
04615150434803,2019,57.82,20.38,2592.9,2548.0,211,211
04615150435602,2019,52.86,24.56,2582.7,2548.2,227,228
04615150437566,2019,23.08,0.0,2494.5,2422.7,26,25
04615316112585,2019,52.63,7.14,2560.6,2452.4,19,14
04755070433946,2019,21.43,0.0,2474.4,2482.9,14,11
04755070433953,2019,28.08,28.77,2544.1,2558.0,146,146
05100580530154,2019,47.83,4.35,2565.4,2483.3,46,46
05615560530014,2019,13.33,0.0,2459.7,2418.5,16,15
05615560530121,2019,36.36,9.09,2561.6,2515.8,11,11
05615560532507,2019,75.37,42.86,2646.3,2602.2,134,133
05615640531509,2019,61.96,26.09,2601.2,2547.7,185,184
06615980631259,2019,60.67,31.82,2604.2,2555.3,89,88
06616060634758,2019,45.83,16.0,2562.4,2539.2,24,25
06616140635250,2019,56.25,17.53,2589.1,2527.9,96,97
06616220637504,2019,50.63,14.81,2585.2,2549.4,79,81
07100740114470,2019,78.16,40.23,2651.0,2599.1,87,87
07100740120444,2019,0.0,0.0,2423.7,2369.4,23,27
07100740129684,2019,73.17,37.04,2651.5,2598.8,82,81
07100740134114,2019,71.43,28.57,2633.9,2580.1,35,35
07100740730614,2019,2.7,0.0,2434.2,2403.4,37,38
07100740731380,2019,72.4,48.21,2634.1,2618.8,588,588
07616300730283,2019,91.42,73.24,2695.3,2683.4,304,300
07616300731125,2019,93.98,83.56,2709.3,2702.1,299,298
07616300733725,2019,80.0,58.13,2666.2,2645.4,386,375
07616300734244,2019,92.56,76.62,2707.4,2701.2,309,308
07616480110494,2019,25.71,1.47,2515.9,2434.6,71,68
07616480117218,2019,75.51,28.57,2639.4,2563.6,147,147
07616480730101,2019,9.86,0.0,2456.2,2405.6,71,71
07616480730259,2019,18.52,3.7,2494.9,2458.7,54,54
07616480730465,2019,52.81,27.09,2582.3,2547.5,392,395
07616480730861,2019,30.93,7.71,2532.5,2474.6,443,441
07616630130930,2019,60.29,11.76,2592.9,2514.7,68,68
07616970737023,2019,64.75,35.25,2603.9,2577.4,122,122
07617210107797,2019,82.98,55.42,2661.3,2632.2,564,564
07617210730457,2019,62.61,23.62,2607.9,2553.2,575,580
07617210730572,2019,29.76,9.64,2533.0,2504.8,84,83
07617210733980,2019,74.04,38.69,2637.7,2594.6,597,597
07617210733998,2019,15.87,0.0,2503.1,2436.7,63,62
07617390730440,2019,25.93,0.0,2499.0,2434.2,27,27
07617390730473,2019,30.77,0.0,2527.9,2461.0,13,12
07617390730549,2019,73.71,44.05,2640.1,2605.8,251,252
07617540730044,2019,79.29,63.41,2660.3,2658.5,339,328
07617540730317,2019,76.74,35.0,2630.7,2592.7,43,41
07617540730358,2019,4.76,0.0,2444.0,2416.8,21,20
07617540730424,2019,4.35,0.0,2405.7,2387.5,46,44
07617540731646,2019,74.36,48.01,2637.6,2620.7,434,429
07617540731836,2019,55.56,28.78,2590.6,2570.6,287,272
07617540734566,2019,36.46,14.58,2539.3,2492.9,289,297
07617540734764,2019,10.13,0.0,2440.0,2419.5,80,71
07617540737809,2019,34.08,13.33,2534.5,2500.8,267,270
07617880730184,2019,2.5,0.0,2404.2,2390.5,121,114
07617880735407,2019,34.61,20.64,2528.5,2523.0,784,786
07617960101477,2019,62.33,28.08,2602.3,2566.4,146,146
07617960132100,2019,63.27,20.41,2610.0,2553.9,49,49
07617960132233,2019,68.12,20.9,2611.0,2548.4,70,67
07617960730291,2019,75.0,57.35,2646.6,2644.9,68,68
07617960730325,2019,36.17,9.3,2519.1,2474.6,47,43
07617960730598,2019,59.91,38.39,2599.2,2569.8,212,211
07617960732164,2019,45.25,11.55,2561.3,2504.7,306,304
07617960732941,2019,48.8,31.23,2579.2,2559.1,334,333
07617960733253,2019,4.17,0.0,2422.7,2381.2,144,143
07617960733659,2019,14.29,2.16,2435.7,2412.3,219,232
07617960735316,2019,50.0,20.77,2572.6,2514.3,262,260
07617960735902,2019,39.94,15.87,2538.7,2509.7,338,335
07618040113118,2019,96.15,87.92,2731.4,2756.0,780,778
07618040730051,2019,76.97,61.42,2654.2,2662.4,648,635
07618040730218,2019,62.75,30.0,2623.3,2592.2,51,50
07618040734368,2019,85.59,68.26,2685.1,2669.9,583,586
07618040736504,2019,80.18,70.89,2655.2,2664.5,444,450
07618040736819,2019,28.57,0.0,2527.6,2429.8,28,28
08100820830059,2019,41.3,6.38,2542.7,2473.0,46,47
08618200833004,2019,44.05,15.66,2557.4,2519.1,168,166
08618200836205,2019,13.73,3.92,2496.2,2452.5,51,51
09100900930123,2019,43.48,26.32,2562.2,2522.0,115,115
09100900930131,2019,4.0,0.0,2462.6,2408.7,25,25
09618380136200,2019,48.48,18.18,2582.1,2499.0,33,33
09618530930081,2019,75.45,68.38,2640.9,2661.3,551,545
09618530930164,2019,65.4,44.21,2618.9,2603.3,237,233
09618530930214,2019,82.14,50.0,2662.3,2628.5,28,28
09618530932756,2019,65.98,39.0,2621.8,2585.8,244,241
09618530934554,2019,4.35,2.22,2451.5,2413.4,46,45
09618530936302,2019,69.86,58.95,2632.5,2637.7,419,419
09619030930040,2019,7.41,0.0,2466.6,2414.6,27,27
09619030937805,2019,55.71,30.09,2584.3,2559.3,219,216
09737830930073,2019,59.15,26.39,2595.2,2552.5,71,72
10101080109991,2019,32.36,2.7,2535.1,2469.3,413,408
10101080119628,2019,25.0,6.25,2491.3,2431.3,16,16
10101081030337,2019,4.88,1.2,2428.6,2380.2,82,83
10101081030899,2019,0.0,0.0,2423.0,2367.8,15,16
10101086069488,2019,6.67,0.0,2478.3,2418.7,15,15
10621170113555,2019,95.83,69.91,2721.8,2669.7,576,566
10621170118018,2019,58.99,8.63,2594.4,2518.3,147,147
10621171030196,2019,81.6,50.54,2663.5,2608.3,462,461
10621171030469,2019,33.33,15.79,2575.2,2509.3,21,22
10621171030501,2019,88.58,55.3,2684.3,2638.4,614,613
10621171030683,2019,74.83,46.15,2645.2,2604.5,589,585
10621171031004,2019,31.94,4.29,2523.2,2483.7,72,70
10621171031053,2019,78.3,48.86,2650.2,2621.6,614,612
10621251030113,2019,10.34,0.0,2483.8,2448.0,29,29
10621251030477,2019,7.69,0.0,2442.5,2405.1,13,14
10621251031376,2019,58.19,17.52,2593.3,2527.2,232,234
10621581032150,2019,54.55,20.13,2598.3,2542.0,154,154
10621660108555,2019,87.88,74.24,2665.5,2678.0,66,66
10621660114355,2019,62.5,10.94,2606.1,2503.6,64,64
10621660114553,2019,98.29,87.18,2733.4,2708.0,117,117
10621660132134,2019,65.08,45.16,2619.0,2596.6,63,62
10621661030279,2019,45.74,19.52,2566.5,2529.5,541,538
10621661030287,2019,16.39,0.85,2470.8,2425.0,123,119
10621661030295,2019,48.08,8.11,2577.2,2510.6,261,259
10621661030584,2019,2.46,0.0,2424.5,2401.7,206,199
10621661030642,2019,19.15,0.0,2518.7,2444.8,47,47
10621661030675,2019,53.55,16.43,2584.0,2523.7,578,562
10621661030840,2019,21.1,1.83,2502.4,2410.0,109,109
10621661031632,2019,1.72,1.72,2416.9,2406.5,61,58
10621661031897,2019,61.58,30.7,2603.9,2558.9,557,557
10621661032507,2019,40.15,7.2,2552.9,2495.2,392,377
10621661032911,2019,53.44,11.83,2575.4,2512.2,379,372
10621661034214,2019,35.83,9.7,2538.9,2498.1,374,372
10621661035831,2019,38.11,9.72,2547.0,2492.7,433,432
10622570124727,2019,70.59,5.88,2615.6,2549.4,17,17
10622571033695,2019,72.08,46.91,2638.5,2604.7,240,243
10622571033729,2019,30.77,0.0,2528.2,2444.2,13,13
10622650108092,2019,70.63,18.9,2622.4,2532.3,126,127
10622650116640,2019,72.22,33.33,2623.4,2567.6,18,18
10622650126292,2019,86.27,54.9,2671.3,2634.5,51,51
10622651030378,2019,15.22,0.0,2482.2,2439.7,46,47
10622651033703,2019,35.82,7.46,2533.4,2468.5,67,67
10622651035310,2019,76.85,46.3,2642.9,2606.1,419,419
10622811033950,2019,41.86,13.95,2573.6,2513.0,43,43
10623310137661,2019,48.84,9.3,2568.9,2500.8,44,44
10623640126870,2019,3.7,0.0,2436.6,2392.0,27,20
10623641034990,2019,28.04,8.45,2524.4,2463.8,214,213
10623800136499,2019,5.8,0.0,2435.1,2410.1,69,69
10624141030451,2019,24.14,0.0,2461.4,2439.9,29,30
10624141030766,2019,78.26,36.96,2662.7,2596.9,46,46
10624141036086,2019,16.28,4.88,2478.8,2433.7,43,41
10624141036094,2019,67.41,40.21,2615.6,2586.8,675,674
10624301030758,2019,18.42,0.0,2498.7,2413.8,38,35
10624301036607,2019,18.75,0.0,2517.9,2436.2,32,32
10624301036672,2019,58.07,23.19,2592.4,2539.3,415,414
10625396112387,2019,36.84,8.0,2545.4,2480.0,76,75
10625470135103,2019,64.44,20.0,2618.3,2522.0,46,46
10625470136523,2019,22.03,1.27,2510.3,2456.4,236,236
10738091030121,2019,70.83,11.11,2628.7,2515.6,144,144
10739651030386,2019,29.31,0.0,2538.9,2445.9,58,58
10739651030626,2019,52.45,13.74,2583.5,2519.3,898,896
10739651035112,2019,1.92,0.0,2414.6,2376.8,52,52
10739991033422,2019,0.0,0.0,2478.2,2405.9,14,14
10739991033430,2019,58.61,22.66,2606.6,2540.6,331,331
10751271030493,2019,69.18,29.48,2619.9,2550.3,159,173
10752341037456,2019,35.58,8.65,2544.8,2496.4,104,104
10752751030139,2019,30.77,28.57,2561.6,2515.0,13,14
10752751036938,2019,61.11,23.61,2605.3,2556.0,72,72
10754081035575,2019,54.69,28.35,2586.9,2560.0,128,127
10755981030535,2019,51.7,22.45,2577.6,2540.7,147,147
10767780122473,2019,10.53,0.0,2471.9,2440.5,19,17
10767781030774,2019,25.0,3.13,2525.7,2450.8,32,32
10767781038306,2019,63.45,22.89,2608.7,2549.2,249,249
11101161130103,2019,57.89,15.79,2599.3,2514.6,19,19
11626461136209,2019,53.33,26.67,2570.2,2533.0,15,15
11626611130038,2019,,0.0,,2408.5,,11
11626611132851,2019,51.33,15.18,2566.3,2501.0,113,112
11754811135656,2019,56.59,23.08,2597.3,2548.3,182,182
11765621133701,2019,59.18,20.41,2582.0,2521.6,49,49
12101240106161,2019,4.35,0.0,2408.0,2385.5,23,22
12101240134163,2019,75.86,50.0,2618.0,2606.9,29,29
12101240137364,2019,70.83,28.0,2608.2,2544.7,25,25
12626870107110,2019,62.5,45.83,2615.5,2590.2,24,24
12626871230044,2019,37.5,0.0,2524.4,2447.5,24,24
12626871230051,2019,10.53,0.0,2478.4,2407.5,19,19
12626871230705,2019,74.52,37.8,2637.4,2586.5,208,209
12626871235209,2019,63.3,32.73,2612.6,2562.6,110,110
12628100108688,2019,82.22,73.33,2667.8,2677.9,45,45
12628101233352,2019,3.85,4.17,2418.2,2414.6,26,24
12628101233402,2019,51.3,17.11,2578.3,2526.1,154,152
12629011230028,2019,0.0,0.0,2414.7,2403.7,15,13
12629011234004,2019,32.0,12.5,2523.4,2463.2,50,48
12630320111203,2019,62.79,26.19,2611.4,2551.8,43,42
12630401237007,2019,36.84,16.22,2567.5,2506.9,38,37
12753741232909,2019,45.95,21.62,2560.4,2543.0,37,37
12755151232057,2019,0.0,0.0,2451.2,2411.6,23,22
12755151232206,2019,64.47,26.87,2601.9,2554.8,229,227
12755151275515,2019,16.67,0.0,2497.8,2453.0,13,12
13101320131094,2019,11.9,0.0,2467.0,2421.1,42,39
13630811331354,2019,16.05,2.35,2492.3,2436.2,81,85
13630811331404,2019,63.19,38.38,2607.6,2572.1,364,358
13630991332154,2019,20.0,0.0,2489.9,2408.7,50,50
13630991332204,2019,55.56,24.62,2584.9,2532.6,711,731
13631071332501,2019,63.41,25.3,2612.5,2561.9,82,83
13631151330133,2019,62.62,24.8,2606.3,2550.1,503,501
13631151333004,2019,62.8,21.41,2605.3,2546.9,414,412
13631151333558,2019,32.35,3.13,2541.5,2438.0,34,32
13631491335306,2019,53.28,37.7,2591.0,2586.8,122,122
13631641335900,2019,75.0,36.07,2645.8,2594.2,280,280
13632141330018,2019,0.0,0.0,2445.9,2420.5,19,17
13632141337609,2019,45.71,8.57,2559.7,2482.6,36,35
14101400117994,2019,5.35,0.42,2425.0,2384.1,245,241
14101400128447,2019,19.44,0.0,2486.2,2434.5,36,31
14101400128454,2019,28.85,2.44,2519.4,2456.8,53,41
14632891434901,2019,57.89,47.37,2622.5,2593.2,19,19
14766871430057,2019,0.0,0.0,2501.5,2437.4,17,17
14766871431600,2019,66.07,35.71,2614.8,2590.0,112,112
15101570119669,2019,66.94,26.45,2618.4,2566.8,121,121
15101571530302,2019,7.35,0.0,2411.1,2371.7,68,67
15101571530310,2019,8.33,1.22,2452.8,2413.0,169,166
15101571530492,2019,50.72,17.14,2577.2,2522.9,70,71
15634120100529,2019,60.81,31.41,2607.3,2569.7,347,347
15634120116384,2019,65.64,36.29,2619.1,2572.7,259,259
15634121531656,2019,13.64,0.0,2486.5,2416.0,44,42
15634121531672,2019,65.58,34.42,2615.6,2576.0,337,337
15635290100198,2019,50.09,15.15,2568.0,2514.3,553,549
15635290110999,2019,64.84,38.97,2613.1,2586.7,546,544
15635290116392,2019,64.92,20.13,2611.4,2542.1,460,462
15635290116400,2019,36.17,8.14,2538.2,2474.9,565,566
15635290125062,2019,4.67,0.83,2421.0,2413.3,110,124
15635291530021,2019,2.17,0.0,2433.3,2407.7,46,46
15635291530047,2019,10.91,0.0,2462.0,2407.4,56,52
15635291530112,2019,10.29,0.73,2459.7,2424.8,136,137
15635291530252,2019,50.18,12.77,2572.5,2501.9,546,548
15635291530344,2019,74.64,41.68,2644.8,2603.5,548,547
15635291530369,2019,73.58,39.29,2633.6,2589.8,467,463
15635291530385,2019,60.96,22.41,2599.1,2539.8,615,610
15635291530435,2019,4.58,0.0,2451.7,2410.8,306,302
15635291530476,2019,71.88,43.66,2635.0,2599.7,473,465
15635291530708,2019,52.55,19.35,2578.3,2522.3,624,625
15635291532290,2019,37.3,16.01,2541.5,2512.3,504,506
15635291532605,2019,55.8,18.79,2581.5,2520.5,448,447
15635291533330,2019,63.33,22.8,2606.3,2546.0,441,443
15635291533538,2019,42.45,20.19,2549.7,2521.2,106,105
15635291534775,2019,53.78,18.21,2574.7,2518.1,382,381
15635291535087,2019,43.1,18.39,2556.2,2518.9,360,359
15635291535392,2019,40.8,18.91,2549.8,2517.4,473,478
15635291536325,2019,5.45,0.9,2457.1,2406.1,115,117
15635291536606,2019,44.24,13.15,2558.8,2502.8,373,365
15636280127209,2019,20.51,0.87,2489.3,2424.2,118,118
15636280134312,2019,47.86,11.97,2576.1,2496.6,117,117
15636280137687,2019,43.18,9.09,2571.3,2497.0,44,44
15636280138131,2019,50.53,17.02,2579.9,2511.3,95,94
15636281533843,2019,17.65,0.0,2490.1,2461.3,17,17
15636770114512,2019,53.97,16.67,2588.7,2514.7,126,126
15636770136259,2019,26.47,2.94,2503.9,2443.8,34,34
15636851530997,2019,36.67,13.33,2555.4,2547.2,30,30
15636851531987,2019,73.42,37.18,2638.5,2568.7,79,78
15637761530039,2019,2.86,0.0,2448.9,2411.4,35,34
15637761530377,2019,27.78,5.56,2511.7,2476.6,18,18
15637761534957,2019,45.0,12.71,2564.2,2511.5,180,181
15638181530138,2019,23.81,4.55,2508.3,2473.3,21,22
15638181535905,2019,33.49,14.35,2525.5,2506.7,218,216
15638261536135,2019,58.82,23.99,2600.1,2550.8,272,271
15638591530351,2019,19.05,4.44,2506.4,2450.2,42,45
15638591536440,2019,55.59,28.13,2585.9,2557.5,358,352
15737421530054,2019,28.57,0.0,2520.7,2446.5,21,26
15737421531367,2019,73.29,34.94,2645.8,2583.4,338,335
15739081530146,2019,0.0,0.0,2453.1,2429.6,15,15
15739081534155,2019,31.84,17.65,2531.5,2516.5,223,221
15751681530401,2019,65.67,14.71,2621.8,2532.0,67,68
16638750101717,2019,27.27,3.03,2518.7,2442.3,33,33
16638750112698,2019,37.84,5.56,2564.6,2492.8,37,37
16638911632207,2019,54.21,17.8,2582.6,2529.3,190,191
16639250118919,2019,63.11,26.67,2609.4,2551.2,225,225
16639251630169,2019,55.34,17.42,2583.5,2519.8,262,264
16639251634245,2019,2.5,0.0,2399.7,2390.5,41,40
16639251634401,2019,64.99,21.01,2616.0,2539.9,357,357
16639580136556,2019,21.07,0.78,2505.3,2445.5,264,261
16639820110205,2019,87.27,37.04,2666.4,2594.7,55,54
16639820136234,2019,47.62,9.52,2576.7,2466.9,21,21
16639821630011,2019,16.67,0.0,2484.6,2459.7,48,48
16639821635606,2019,55.73,21.33,2592.1,2531.9,375,375
16739321630953,2019,42.99,14.02,2552.6,2498.3,107,107
17640141734359,2019,42.11,13.16,2557.5,2514.0,114,114
17640220132571,2019,66.67,4.17,2614.8,2514.5,24,24
17640221730027,2019,15.38,3.85,2510.2,2447.1,26,26
17640221735000,2019,39.1,8.33,2539.5,2489.4,156,156
17640301730019,2019,18.18,0.0,2501.7,2419.6,11,11
17640301732304,2019,35.9,23.08,2540.4,2544.4,78,78
17640550129601,2019,65.38,19.23,2584.2,2519.3,26,26
17640551736008,2019,57.14,20.0,2603.2,2534.4,126,125
17769761737006,2019,25.81,1.69,2502.4,2458.8,62,59
18640891831601,2019,35.71,7.14,2554.8,2515.6,14,14
18641391833805,2019,56.73,31.58,2596.9,2574.8,171,171
18641620135756,2019,16.0,0.0,2497.2,2448.3,25,25
18641626010763,2019,43.75,12.5,2602.4,2506.1,16,16
18642041838507,2019,23.08,21.43,2539.8,2526.9,13,14
19101990100776,2019,29.03,9.68,2526.3,2491.2,62,62
19101990109942,2019,44.44,17.65,2562.7,2534.9,37,35
19101990112128,2019,50.0,35.71,2589.9,2570.2,84,84
19101990115030,2019,50.98,25.49,2584.2,2550.4,51,51
19101990115212,2019,75.68,24.32,2618.2,2539.0,37,37
19101990121871,2019,0.0,0.0,2401.7,2411.1,17,17
19101990121897,2019,0.0,0.0,2409.2,2361.2,18,13
19101990121921,2019,7.69,7.69,2384.7,2411.2,13,13
19101990121954,2019,0.0,0.0,2373.0,2363.5,32,32
19101990127522,2019,14.29,0.0,2458.1,2387.0,14,11
19101990134346,2019,50.0,10.53,2566.1,2488.5,38,38
19101990137679,2019,63.64,54.55,2624.9,2612.1,11,11
19101990138669,2019,29.27,2.78,2531.6,2434.4,41,36
19101991933399,2019,91.27,55.12,2696.2,2630.0,126,127
19101991995869,2019,89.15,62.79,2686.3,2650.9,129,129
19101991996214,2019,10.0,0.0,2466.6,2405.3,31,25
19101996119945,2019,55.56,15.87,2590.0,2556.9,63,63
19642121930056,2019,84.08,64.85,2671.8,2658.2,516,515
19642121930361,2019,54.9,27.24,2587.8,2557.9,306,301
19642121931641,2019,20.8,4.65,2487.8,2477.9,128,129
19642121931880,2019,99.39,96.95,2747.3,2784.8,164,164
19642121933159,2019,71.66,47.29,2629.2,2610.8,441,442
19642121995596,2019,25.0,5.88,2546.5,2476.9,16,17
19642460100081,2019,47.53,14.85,2568.3,2508.8,608,608
19642460108407,2019,36.47,6.48,2538.7,2484.5,426,432
19642460111872,2019,92.0,67.0,2689.3,2656.2,100,100
19642460126003,2019,46.15,12.0,2586.6,2506.6,26,25
19642461930213,2019,28.75,5.66,2519.4,2455.6,320,318
19642461931732,2019,16.1,0.31,2476.9,2424.0,324,320
19642461936624,2019,28.41,5.47,2516.7,2471.1,528,530
19642461937051,2019,53.6,20.72,2582.5,2535.5,694,695
19642461995398,2019,36.28,12.22,2541.8,2493.9,544,540
19642461995406,2019,33.99,6.89,2531.3,2484.5,306,305
19642461995844,2019,43.83,12.95,2557.7,2511.5,528,525
19642461995968,2019,0.0,0.0,2415.4,2376.8,15,15
19642461996537,2019,42.86,3.11,2560.5,2482.9,168,161
19642461996644,2019,16.75,0.76,2491.0,2430.3,400,395
19642611930288,2019,74.06,66.27,2643.1,2668.8,667,670
19642611995299,2019,,7.69,,2477.4,,13
19642791930528,2019,52.43,31.0,2582.6,2556.9,267,272
19642791931765,2019,7.07,1.03,2453.9,2425.6,100,102
19642791933449,2019,56.72,26.97,2596.8,2564.9,268,267
19642871930601,2019,54.73,23.63,2583.5,2541.8,402,402
19642871936384,2019,8.33,0.78,2464.8,2423.0,132,129
19642871938166,2019,60.89,32.33,2606.8,2571.0,427,433
19642871996479,2019,37.03,4.65,2549.7,2486.5,829,819
19642951930700,2019,65.73,25.59,2618.4,2551.8,213,211
19642951936491,2019,17.24,0.0,2505.4,2412.9,29,29
19643031930775,2019,74.79,32.02,2634.6,2567.6,358,356
19643031935618,2019,63.49,26.71,2610.8,2561.4,441,439
19643031938190,2019,13.59,0.0,2483.3,2420.9,105,110
19643111930981,2019,68.47,61.46,2650.0,2657.6,314,314
19643291931088,2019,86.57,60.09,2682.4,2647.8,469,470
19643291937598,2019,10.26,0.0,2466.6,2413.7,39,38
19643291937739,2019,74.2,37.66,2640.0,2589.0,314,316
19643370131573,2019,80.0,30.0,2661.8,2579.4,20,20
19643371931187,2019,68.07,44.2,2618.6,2602.5,595,589
19643371931237,2019,66.97,43.67,2626.4,2597.8,546,530
19643371933332,2019,12.0,1.19,2479.3,2416.3,75,84
19643520118521,2019,18.18,0.0,2510.3,2458.5,11,11
19643520128488,2019,23.53,8.33,2530.9,2457.3,17,12
19643520128496,2019,21.05,0.0,2490.8,2412.7,19,17
19643521930239,2019,6.17,0.0,2415.3,2384.6,81,79
