cds14,year,ela_pct_met,math_pct_met,ela_mean,math_mean,ela_n,math_n
01100170112607,2016,43.0,11.0,2566.0,2506.3,88,89
01100170130401,2016,0.0,,2411.0,,20,
01100170130419,2016,11.0,3.0,2456.9,2433.6,39,38
01316170131763,2016,0.0,0.0,2430.3,2433.2,40,40
01611190106401,2016,93.0,96.0,2704.6,2719.5,46,46
01611190119222,2016,52.0,29.0,2588.3,2539.3,21,21
01611190130229,2016,78.0,60.0,2655.6,2656.9,394,399
01611190130609,2016,87.0,71.0,2682.4,2642.7,47,45
01611190130625,2016,11.0,9.0,2463.9,2468.7,38,34
01611190132142,2016,71.0,41.0,2626.2,2595.7,209,209
01611190134304,2016,25.0,0.0,2508.3,2455.6,57,59
01611270130450,2016,83.0,75.0,2678.3,2695.6,276,286
01611430122697,2016,39.0,15.0,2548.7,2488.0,69,68
01611430131177,2016,70.0,51.0,2632.3,2621.3,698,690
01611430134924,2016,0.0,5.0,2435.1,2417.6,27,25
01611500132225,2016,67.0,51.0,2617.6,2622.1,634,634
01611500135533,2016,20.0,1.0,2499.7,2461.5,70,68
01611680132746,2016,44.0,11.0,2553.5,2516.3,36,36
01611760130062,2016,77.0,57.0,2651.5,2648.9,498,501
01611760130138,2016,35.0,2.0,2541.5,2465.8,82,82
01611760130435,2016,45.0,9.0,2566.0,2476.8,11,11
01611760130534,2016,63.0,40.0,2620.6,2581.3,41,41
01611760134270,2016,80.0,70.0,2668.9,2685.0,482,481
01611760134452,2016,66.0,39.0,2621.4,2583.7,312,313
01611760135244,2016,95.0,91.0,2726.7,2768.1,467,466
01611760138693,2016,76.0,53.0,2656.0,2626.1,389,389
01611920108670,2016,85.0,55.0,2668.2,2639.7,119,119
01611920113902,2016,83.0,37.0,2661.5,2598.7,111,112
01611920127944,2016,36.0,5.0,2547.7,2469.6,43,43
01611920133009,2016,1.0,1.0,2419.9,2405.9,79,78
01611920133629,2016,58.0,23.0,2583.6,2547.6,355,355
01611920135319,2016,55.0,27.0,2588.0,2544.3,488,483
01611920138339,2016,33.0,16.0,2521.9,2500.6,302,317
