cds14,year,ela_pct_met,math_pct_met,ela_mean,math_mean,ela_n,math_n
01100170112607,2021,52.46,22.03,2579.7,2533.3,62,63
01611270130450,2021,91.2,83.49,2715.3,2732.4,217,219
01611430131177,2021,95.95,73.21,2740.6,2723.8,74,56
01611500132225,2021,84.99,86.35,2683.7,2735.5,480,249
01611500133876,2021,60.0,34.38,2616.8,2578.9,35,32
01611500135533,2021,30.0,9.09,2517.3,2492.1,22,23
01611680132746,2021,29.73,9.76,2535.4,2492.0,37,41
01611760130062,2021,89.6,81.74,2732.6,2742.9,598,599
01611760130138,2021,27.27,8.82,2524.8,2496.3,46,35
01611760134270,2021,87.93,79.93,2717.9,2743.2,549,543
01611760134452,2021,69.17,53.39,2633.7,2633.4,245,255
01611760135244,2021,93.65,93.73,2750.3,2794.6,505,511
01611760138693,2021,73.68,60.87,2657.2,2664.7,420,419
01611920108670,2021,61.81,26.21,2608.9,2563.7,145,145
01611920137646,2021,64.76,30.0,2619.9,2571.5,105,102
01612000130393,2021,57.14,42.86,2601.7,2548.6,14,14
01612000132670,2021,30.56,5.88,2513.9,2465.6,36,34
01612000133397,2021,67.5,48.12,2632.6,2625.2,360,352
01612000134536,2021,74.18,59.67,2648.0,2643.0,308,302
01612420110460,2021,15.38,0.0,2480.8,2472.6,13,21
01612420126763,2021,47.06,18.75,2578.8,2554.3,34,32
01612420134668,2021,70.92,45.68,2640.9,2621.6,680,684
01612590100065,2021,60.24,24.1,2597.2,2568.0,83,83
01612590108944,2021,45.07,11.11,2565.2,2527.1,71,73
01612590111856,2021,50.79,39.68,2569.6,2583.8,126,126
01612590112797,2021,41.94,9.52,2552.9,2504.5,63,63
01612590114868,2021,61.05,51.06,2604.9,2617.5,96,94
01612590115238,2021,35.44,6.33,2551.6,2495.8,79,79
01612590118224,2021,36.73,21.57,2550.7,2547.4,50,51
01612590126748,2021,37.25,16.19,2548.8,2516.8,103,105
01612590129932,2021,71.43,48.84,2619.6,2614.3,42,44
01612590130575,2021,76.09,31.82,2643.1,2591.5,47,44
01612590130666,2021,48.08,22.0,2573.3,2549.3,53,50
01612750136515,2021,89.06,86.51,2719.7,2751.7,128,126
01613090114421,2021,75.71,49.66,2651.9,2632.6,144,145
01771800138289,2021,24.24,8.33,2503.5,2494.6,34,36
03739810330019,2021,12.5,0.0,2486.0,2411.6,16,17
03739810330753,2021,42.99,17.65,2569.6,2539.9,107,102
03739810334755,2021,50.79,21.31,2576.8,2535.2,126,124
04100410114991,2021,70.09,35.51,2625.6,2583.1,108,107
04100410134213,2021,27.27,,2509.7,,11,
04100410430090,2021,27.78,16.67,2554.1,2501.7,18,18
04614080430827,2021,45.83,4.26,2548.4,2467.9,48,47
04614240120394,2021,74.44,37.65,2641.4,2590.4,92,85
04614240430199,2021,50.88,18.52,2576.0,2524.8,57,54
04614240431502,2021,19.3,1.96,2515.4,2460.7,58,52
04614240431676,2021,79.04,39.63,2651.1,2591.8,335,328
04614240437558,2021,80.78,54.82,2662.7,2632.0,359,363
04614320433201,2021,55.17,43.86,2597.2,2572.9,58,57
04615150434803,2021,50.38,18.7,2572.8,2521.9,133,123
04615150435602,2021,51.82,21.1,2574.3,2525.7,111,109
04615150437566,2021,12.5,0.0,2447.8,2423.2,16,14
04615310121715,2021,34.78,17.65,2555.3,2504.8,23,17
