cds14,year,ela_pct_met,math_pct_met,ela_mean,math_mean,ela_n,math_n
01100170130419,2025,9.09,,2429.3,,11,
01316170131763,2025,15.79,0.0,2481.9,2468.7,19,21
01611190106401,2025,94.0,74.0,2680.8,2705.3,50,50
01611190130229,2025,80.7,53.72,2660.8,2640.8,430,430
01611190132142,2025,62.98,39.81,2616.0,2586.5,208,206
01611190134304,2025,14.29,5.26,2476.7,2421.7,21,19
01611270130450,2025,82.97,73.02,2681.6,2706.2,276,278
01611430131177,2025,70.73,57.63,2638.3,2646.7,731,708
01611430134924,2025,18.18,0.0,2456.5,2380.5,22,22
01611500132225,2025,68.08,49.37,2623.0,2621.2,639,636
01611500133876,2025,72.73,36.36,2650.5,2570.5,11,11
01611500135533,2025,9.38,6.45,2487.7,2431.2,32,31
01611680132746,2025,37.14,17.14,2520.7,2529.9,35,35
01611760130062,2025,87.73,72.39,2713.3,2714.5,595,594
01611760130138,2025,20.65,2.25,2501.9,2429.1,92,89
01611760134270,2025,82.7,73.96,2693.6,2713.8,503,503
01611760134452,2025,62.96,38.33,2611.8,2574.9,297,300
01611760135244,2025,93.81,88.81,2730.5,2767.7,420,420
01611760138693,2025,77.26,59.95,2670.3,2658.7,431,427
01611920133009,2025,4.35,2.27,2415.1,2407.0,46,44
01611920133629,2025,51.68,20.85,2585.4,2529.6,358,355
01611920135319,2025,61.61,19.91,2596.9,2528.1,448,427
01611920138339,2025,22.19,7.23,2475.6,2449.7,302,346
01612000130393,2025,60.0,25.0,2574.1,2517.5,15,12
01612000132670,2025,10.26,5.71,2478.9,2432.8,39,35
01612000133397,2025,74.81,43.46,2643.4,2616.8,520,520
01612000134536,2025,59.46,34.57,2594.4,2569.1,407,405
01612340130054,2025,55.38,25.0,2581.6,2539.1,316,316
01612340135426,2025,0.0,0.0,2443.4,2410.8,14,14
01612420110460,2025,10.17,1.75,2429.6,2393.2,59,57
01612420126763,2025,53.85,43.59,2595.5,2602.8,39,39
01612420134668,2025,63.58,34.81,2607.6,2585.0,670,675
01612590110189,2025,17.5,8.33,2492.4,2490.3,40,36
01612590112797,2025,41.23,7.02,2541.4,2484.5,114,114
01612590115667,2025,0.0,0.0,2354.7,2345.5,79,78
01612590118653,2025,0.0,0.0,2436.1,2432.9,15,15
01612590125161,2025,6.38,5.68,2433.1,2445.1,94,88
01612590125716,2025,9.29,2.6,2462.7,2418.5,226,231
01612590130146,2025,0.0,0.0,2367.0,2398.8,27,29
01612590130179,2025,0.0,0.0,2453.6,2427.1,15,15
01612590130575,2025,50.85,17.24,2576.7,2515.1,59,58
01612590132688,2025,8.33,12.0,2434.4,2485.5,24,25
01612590135905,2025,41.62,26.3,2544.0,2528.2,346,346
01612590136051,2025,60.06,37.7,2604.7,2585.1,333,313
01612590137943,2025,52.92,28.14,2577.3,2553.1,240,231
01612590149187,2025,35.42,12.5,2541.7,2489.5,48,48
01612596066450,2025,32.95,6.98,2510.3,2448.7,88,86
01612596114011,2025,46.67,74.07,2557.0,2665.0,30,27
01612750130286,2025,53.85,35.71,2580.8,2564.9,13,14
01612750136515,2025,95.78,80.72,2724.2,2739.1,166,166
01612910134528,2025,19.23,0.0,2496.8,2405.5,52,51
01612910137588,2025,39.27,16.12,2541.6,2504.2,545,552
01612910141473,2025,25.0,25.0,2540.1,2536.0,24,24
01613090111799,2025,30.0,4.17,2533.9,2462.9,30,24
01613090130849,2025,58.98,31.15,2592.6,2554.7,334,321
01613090137745,2025,16.67,0.0,2456.4,2398.5,12,12
01613090137810,2025,29.82,10.33,2516.1,2464.3,228,242
01750930132704,2025,81.59,71.45,2672.0,2700.8,853,865
01750930138453,2025,8.33,0.0,2453.7,2417.4,24,24
01750930175093,2025,81.25,68.75,2686.9,2665.6,16,16
01751010130096,2025,83.24,68.61,2677.8,2689.0,531,532
01751010130252,2025,15.0,0.0,2447.2,2390.2,20,19
01751010130583,2025,85.76,72.34,2689.5,2705.7,604,593
01751010141432,2025,72.22,44.44,2623.6,2599.2,18,18
03739810330019,2025,0.0,0.0,2398.0,2409.1,16,13
03739810330050,2025,40.0,13.33,2559.9,2522.3,15,15
03739810330753,2025,63.09,16.45,2604.0,2507.8,149,152
03739810334755,2025,50.47,14.95,2582.9,2497.7,107,107
04614080430827,2025,53.85,10.26,2589.5,2504.3,39,39
04614240141069,2025,47.73,6.67,2566.6,2475.1,44,45
04614240430199,2025,5.26,5.88,2480.2,2405.5,19,17
04614240431502,2025,3.13,0.0,2422.7,2408.4,32,29
04614240431676,2025,74.88,39.85,2642.7,2590.2,414,409
04614240437558,2025,75.12,44.25,2652.4,2603.7,410,409
04614320433201,2025,50.0,28.21,2572.7,2567.4,80,78
04615150434803,2025,33.59,13.67,2534.2,2495.7,259,256
04615150435602,2025,47.8,15.29,2568.4,2500.0,159,157
04615150437566,2025,25.0,5.41,2504.3,2454.8,36,37
04615310432856,2025,16.67,0.0,2507.2,2434.1,18,18
04615310437350,2025,47.37,27.84,2560.8,2544.5,95,97
04755070433946,2025,,0.0,,2442.1,,11
04755070433953,2025,72.84,40.37,2643.9,2598.0,162,161
05615560530014,2025,23.08,0.0,2493.8,2437.6,13,13
05615560532507,2025,68.75,22.32,2610.3,2535.9,112,112
05615640530022,2025,18.75,18.75,2473.1,2466.6,16,16
05615640530055,2025,31.25,6.25,2522.1,2444.2,16,16
05615640531509,2025,31.34,17.91,2509.2,2488.6,134,134
06615980630012,2025,0.0,9.09,2410.0,2420.0,11,11
06615980631259,2025,55.14,14.02,2581.0,2506.3,107,107
06616060634758,2025,37.14,17.14,2542.2,2546.9,35,35
06616140635250,2025,63.87,21.01,2609.0,2535.7,119,119
06616220637504,2025,36.05,4.55,2551.5,2468.6,86,88
07616300107524,2025,52.17,8.7,2585.9,2510.3,23,23
07616300730283,2025,82.46,63.07,2680.6,2682.2,285,287
07616300731125,2025,85.41,70.12,2683.0,2689.9,329,328
07616300733725,2025,71.16,56.46,2641.3,2641.1,378,379
07616300734244,2025,89.83,78.72,2721.1,2717.3,295,296
07616480110494,2025,12.94,1.18,2495.5,2428.0,85,85
07616480117218,2025,72.46,25.36,2641.4,2560.3,138,138
07616480730101,2025,16.0,0.0,2478.6,2403.6,100,100
07616480730259,2025,24.29,2.82,2514.6,2444.2,70,71
07616480730465,2025,50.64,22.61,2569.4,2517.7,393,398
07616480730861,2025,29.18,4.82,2512.8,2469.6,353,353
07616970737023,2025,52.75,23.33,2585.4,2547.0,91,90
07617210107797,2025,75.44,43.55,2645.2,2606.4,619,620
07617210730457,2025,53.79,13.99,2574.0,2509.0,528,529
07617210730572,2025,46.15,7.69,2562.8,2499.4,65,65
07617210733980,2025,61.93,26.95,2611.7,2560.6,633,627
07617210733998,2025,13.41,2.41,2463.0,2424.7,82,83
07617390730440,2025,19.44,0.0,2482.7,2428.1,36,36
07617390730473,2025,16.67,11.11,2471.9,2471.4,18,18
07617390730549,2025,51.39,28.11,2572.3,2552.7,216,217
07617540730044,2025,73.65,50.99,2648.7,2630.1,353,355
07617540730317,2025,48.39,34.48,2588.5,2544.3,31,29
07617540730358,2025,21.43,16.67,2483.4,2509.3,14,12
07617540731646,2025,61.02,43.88,2611.7,2601.5,449,449
07617540731836,2025,43.16,16.96,2559.8,2509.9,234,230
07617540734566,2025,38.11,12.46,2539.1,2477.0,286,281
07617540734764,2025,15.58,5.41,2457.0,2402.8,77,74
07617540737809,2025,29.15,11.79,2513.8,2481.3,247,246
07617880730184,2025,8.7,3.26,2456.6,2404.2,92,92
07617880735407,2025,42.86,17.64,2553.2,2516.8,756,754
07617960730291,2025,94.2,59.42,2686.0,2642.7,69,69
07617960730325,2025,41.51,13.21,2546.0,2467.7,53,53
07617960730598,2025,64.52,38.8,2613.7,2591.6,186,183
07617960732164,2025,36.97,12.33,2539.9,2491.6,238,227
07617960732941,2025,44.87,29.64,2563.0,2553.3,312,307
07617960733253,2025,4.0,1.35,2431.3,2401.7,75,74
07617960733659,2025,15.69,8.82,2472.5,2435.2,102,102
07617960735316,2025,57.96,38.39,2593.6,2586.0,245,224
07617960735902,2025,39.61,8.58,2539.5,2478.9,308,303
07618040113118,2025,84.4,78.99,2681.4,2718.2,673,676
07618040730051,2025,74.86,61.71,2647.6,2663.7,696,692
07618040734368,2025,86.23,64.79,2679.0,2668.6,494,497
07618040736504,2025,82.08,51.27,2669.1,2632.8,480,472
07618040736819,2025,20.0,0.0,2494.1,2431.7,20,17
08618200833004,2025,50.6,20.0,2563.4,2513.9,166,165
08618200836205,2025,25.71,2.86,2485.6,2417.3,35,35
09618530930081,2025,78.02,65.23,2660.3,2666.3,555,555
09618530930164,2025,60.53,25.99,2608.7,2554.7,228,227
09618530932756,2025,64.63,31.45,2614.0,2574.8,246,248
09618530934554,2025,16.0,2.04,2463.5,2394.9,50,49
09618530936302,2025,70.93,49.42,2634.6,2614.0,344,342
09619030140459,2025,28.57,14.29,2516.5,2496.9,14,14
09619030930040,2025,4.76,0.0,2467.8,2395.1,21,21
09619030937805,2025,41.53,27.66,2545.4,2549.2,236,235
09737830930073,2025,69.49,20.34,2601.8,2526.4,59,59
10101081030337,2025,0.0,0.0,2454.4,2386.5,14,14
10101086069488,2025,33.33,0.0,2520.9,2430.7,15,15
10621170113555,2025,91.32,67.3,2717.0,2669.5,553,523
10621171030196,2025,83.3,53.56,2667.7,2625.4,521,519
10621171030469,2025,61.54,15.38,2624.9,2544.7,13,13
10621171030501,2025,82.34,56.99,2672.6,2635.8,589,579
10621171030683,2025,69.87,36.12,2636.4,2582.1,707,706
10621171031004,2025,26.0,1.03,2513.6,2421.1,100,97
10621171031053,2025,78.68,45.85,2658.9,2605.7,619,602
10621251030113,2025,13.33,0.0,2464.4,2400.1,30,30
10621251030477,2025,0.0,3.45,2429.7,2417.5,29,29
10621251031376,2025,37.3,9.17,2534.4,2464.1,244,240
10621581032150,2025,70.15,25.74,2629.3,2548.5,201,202
10621660108555,2025,77.19,61.4,2664.1,2670.3,57,57
10621660132134,2025,69.64,21.43,2634.8,2551.3,56,56
10621661030279,2025,52.29,18.11,2586.3,2516.1,480,475
10621661030287,2025,28.48,8.89,2501.8,2457.9,151,135
10621661030295,2025,57.99,24.81,2608.0,2569.3,269,266
10621661030584,2025,5.85,3.64,2420.5,2423.1,171,165
10621661030675,2025,47.73,15.25,2564.0,2508.8,618,610
10621661031632,2025,13.33,4.49,2482.0,2439.4,90,89
10621661031897,2025,66.02,38.1,2625.3,2590.6,512,525
10621661032507,2025,40.0,12.59,2542.5,2496.5,400,397
10621661032911,2025,57.11,15.11,2583.0,2520.2,485,483
10621661034214,2025,55.39,6.44,2585.9,2477.8,464,450
10621661035831,2025,38.65,9.78,2539.4,2481.4,458,460
10622570124727,2025,22.22,0.0,2508.1,2430.2,27,27
10622571033695,2025,74.91,38.81,2633.3,2583.2,267,268
10622571033729,2025,25.0,0.0,2536.2,2405.6,20,20
10622650108092,2025,72.31,20.0,2627.0,2544.3,130,130
10622651030378,2025,16.09,0.0,2477.2,2421.4,87,83
10622651033703,2025,22.5,0.0,2524.2,2459.6,40,40
10622651035310,2025,71.99,38.54,2627.0,2597.5,407,410
10622811033950,2025,26.32,15.79,2527.6,2497.8,38,38
10623640126870,2025,,0.0,,2389.1,,14
10623641034990,2025,32.61,13.37,2520.3,2485.1,184,187
10624140141291,2025,54.57,23.86,2591.2,2546.3,350,352
10624141030451,2025,54.84,0.0,2599.0,2485.3,31,31
10624141036086,2025,5.56,2.78,2445.6,2425.4,36,36
10624141036094,2025,74.86,37.57,2641.2,2585.9,533,543
10624301030758,2025,11.11,3.7,2497.9,2425.2,27,27
10624301036607,2025,30.19,3.77,2518.9,2461.7,53,53
10624301036672,2025,55.22,23.84,2583.4,2554.6,364,365
10738091030121,2025,65.22,14.63,2621.7,2516.3,161,164
10739650140269,2025,50.0,65.52,2581.2,2646.7,28,29
10739650140509,2025,53.37,24.76,2577.7,2551.2,416,420
10739651030386,2025,24.14,3.45,2507.3,2437.0,58,58
10739651030626,2025,49.86,12.78,2564.0,2506.8,359,352
10739651030790,2025,57.45,19.42,2585.9,2546.9,141,139
10739651035112,2025,8.57,0.0,2430.8,2381.2,35,34
10739990141036,2025,25.53,0.0,2523.2,2446.1,47,46
10739991033422,2025,20.83,0.0,2512.3,2451.9,24,25
10739991033430,2025,57.44,23.08,2595.4,2543.6,336,338
10751271030493,2025,66.08,20.26,2613.8,2523.1,227,227
10752341037456,2025,49.45,13.19,2565.0,2481.0,91,91
10752751030139,2025,36.36,45.45,2515.8,2559.4,11,11
10752751036938,2025,76.47,39.71,2636.6,2595.8,68,68
10752756112544,2025,37.5,0.0,2558.6,2476.5,16,16
10754081035575,2025,46.46,20.47,2568.9,2537.5,127,127
10755981030535,2025,59.12,13.5,2594.0,2491.1,159,163
10767780122473,2025,11.54,11.54,2459.2,2450.4,26,26
10767781038306,2025,54.96,21.15,2588.6,2518.0,262,260
11626461136209,2025,52.94,17.65,2585.8,2509.9,17,17
11626611132851,2025,33.64,28.18,2516.8,2548.6,107,110
11754811130012,2025,0.0,0.0,2389.7,2379.0,13,13
11754811135656,2025,41.81,20.22,2566.7,2540.2,177,178
11765621133701,2025,51.16,22.73,2582.7,2541.1,86,88
12101240106161,2025,8.33,0.0,2436.2,2396.8,12,12
12626871230044,2025,30.77,7.69,2522.8,2476.2,13,13
12626871230705,2025,65.7,36.78,2616.4,2577.1,242,242
12626871235209,2025,45.86,23.13,2560.8,2506.7,133,134
12628100108688,2025,81.08,70.27,2677.7,2670.6,37,37
12628101233352,2025,10.71,0.0,2472.5,2394.0,28,25
12628101233402,2025,45.2,11.36,2566.1,2505.5,177,176
12629011234004,2025,42.42,15.38,2540.3,2498.3,66,65
12630401237007,2025,22.92,8.51,2516.9,2477.0,48,47
12753741232909,2025,51.52,30.3,2587.3,2570.1,33,33
12755151232057,2025,9.68,3.23,2449.2,2398.3,31,31
12755151232206,2025,50.59,21.01,2579.9,2533.5,255,257
13101320131094,2025,8.89,2.27,2431.4,2424.9,45,44
13630811331354,2025,17.2,13.83,2478.0,2454.3,93,94
13630811331404,2025,65.17,26.8,2610.0,2547.0,402,403
13630991332154,2025,8.0,2.0,2438.1,2393.9,50,50
13630991332204,2025,50.17,17.96,2570.6,2501.2,596,607
13631071332501,2025,48.81,14.94,2574.9,2502.2,84,87
13631150140954,2025,50.0,3.33,2577.6,2467.7,30,30
13631151330133,2025,53.36,20.6,2583.2,2538.7,431,432
13631151333004,2025,48.49,19.21,2569.8,2538.8,431,432
13631151333558,2025,22.06,0.0,2500.6,2429.1,68,67
13631491335306,2025,55.8,20.86,2588.5,2542.0,138,139
13631641331115,2025,27.27,,2546.0,,11,
13631641335900,2025,60.36,24.25,2592.4,2548.6,333,334
13632141337609,2025,37.25,6.12,2558.8,2452.9,51,49
14766871431600,2025,50.78,30.77,2577.5,2566.2,128,130
15101571530302,2025,0.0,0.0,2399.1,2355.4,61,58
15101571530310,2025,16.5,0.0,2478.1,2409.7,103,97
15634120100529,2025,69.08,33.99,2634.5,2583.4,304,303
