cds14,ag_year,ag_cohort,ag_met_uccsu_count,ag_met_uccsu_rate
07617540731646,2016-17,505,269,54.9
07617540731836,2016-17,304,113,40.9
07617540734566,2016-17,303,89,34.1
07617540734764,2016-17,184,0,0.0
07617540737809,2016-17,249,45,22.4
07617880730184,2016-17,122,0,0.0
07617880735407,2016-17,728,241,36.9
07617960000000,2016-17,22,0,0.0
07617960101477,2016-17,119,107,95.5
07617960132100,2016-17,48,42,95.5
07617960730291,2016-17,54,44,84.6
07617960730325,2016-17,64,5,12.2
07617960730598,2016-17,275,149,56.9
07617960732164,2016-17,291,141,53.4
07617960732941,2016-17,364,148,48.1
07617960733253,2016-17,213,0,0.0
07617960733659,2016-17,225,46,26.9
07617960735316,2016-17,256,92,40.9
07617960735902,2016-17,378,112,37.0
07618040113118,2016-17,630,486,78.8
07618040730051,2016-17,655,433,66.7
07618040730218,2016-17,82,10,17.9
07618040734368,2016-17,570,441,78.5
07618040736504,2016-17,498,398,80.7
07618040736819,2016-17,36,0,0.0
08100820830059,2016-17,96,0,0.0
08618200833004,2016-17,182,46,27.1
08618200836205,2016-17,49,0,0.0
09100900930016,2016-17,12,0,0.0
09100900930123,2016-17,108,0,0.0
09100900930131,2016-17,83,0,0.0
09618530930081,2016-17,614,426,71.0
09618530930164,2016-17,267,139,54.3
09618530930214,2016-17,21,4,21.1
09618530930222,2016-17,27,0,0.0
09618530932756,2016-17,243,107,46.5
09618530934554,2016-17,67,0,0.0
09618530936302,2016-17,419,233,59.0
09619030930040,2016-17,54,0,0.0
09619030930107,2016-17,16,0,0.0
09619030937805,2016-17,244,80,35.1
09737830930073,2016-17,85,21,27.6
09737830930099,2016-17,11,0,0.0
10101080109991,2016-17,375,0,0.0
10101080119628,2016-17,24,0,0.0
10101081030337,2016-17,155,0,0.0
10101081030899,2016-17,27,0,0.0
10101086069488,2016-17,32,0,0.0
10621170113555,2016-17,580,371,65.4
10621170118018,2016-17,116,23,25.0
10621171030196,2016-17,510,282,58.1
10621171030469,2016-17,27,4,22.2
10621171030501,2016-17,618,390,65.2
10621171030683,2016-17,487,299,63.2
10621171031004,2016-17,101,0,0.0
10621171031053,2016-17,655,328,51.7
10621251030113,2016-17,46,0,0.0
10621251030477,2016-17,17,0,0.0
10621251031376,2016-17,255,75,33.2
10621581032150,2016-17,184,86,47.0
10621660108555,2016-17,49,49,100.0
10621660114355,2016-17,81,14,30.4
10621660114553,2016-17,110,105,98.1
10621660120964,2016-17,13,0,0.0
10621661030279,2016-17,569,306,57.4
10621661030287,2016-17,221,9,7.1
10621661030295,2016-17,217,120,55.8
10621661030584,2016-17,241,0,0.0
10621661030642,2016-17,83,0,0.0
10621661030675,2016-17,626,323,55.4
10621661030840,2016-17,139,2,4.1
10621661031632,2016-17,165,0,0.0
10621661031897,2016-17,573,389,72.2
10621661032507,2016-17,504,217,46.9
10621661032911,2016-17,452,198,50.6
10621661034214,2016-17,382,167,49.7
10621661035831,2016-17,459,180,45.1
10621666112619,2016-17,11,1,33.3
10622570124727,2016-17,24,0,0.0
10622571033695,2016-17,243,107,44.4
10622571033729,2016-17,11,0,0.0
10622650108092,2016-17,134,62,53.4
10622650116640,2016-17,30,0,0.0
10622650126292,2016-17,24,13,54.2
10622651030378,2016-17,59,0,0.0
10622651033703,2016-17,54,0,0.0
10622651035310,2016-17,388,110,32.0
10622811033950,2016-17,37,14,38.9
10623310130880,2016-17,15,1,50.0
10623640126870,2016-17,30,0,0.0
10623641034990,2016-17,203,83,43.5
10623800124982,2016-17,216,3,8.1
10624141030451,2016-17,46,0,0.0
10624141030766,2016-17,58,30,61.2
10624141036086,2016-17,51,0,0.0
10624141036094,2016-17,627,356,61.8
10624301030758,2016-17,55,0,0.0
10624301036607,2016-17,26,0,0.0
10624301036672,2016-17,403,170,47.0
10625396112387,2016-17,91,0,0.0
10625470120535,2016-17,350,0,0.0
10625470127159,2016-17,12,1,20.0
10738091030121,2016-17,167,61,38.4
10739651030386,2016-17,104,1,2.0
10739651030626,2016-17,925,361,42.4
10739651035112,2016-17,67,0,0.0
10739991033422,2016-17,39,1,3.2
10739991033430,2016-17,314,95,31.7
10751271030261,2016-17,12,0,0.0
10751271030493,2016-17,222,65,38.5
10752341037456,2016-17,91,27,30.3
10752751030139,2016-17,23,0,0.0
10752751036938,2016-17,100,49,49.5
10754081035575,2016-17,136,64,50.4
10755981030535,2016-17,138,69,52.3
10767780122473,2016-17,56,1,5.6
10767781030774,2016-17,69,0,0.0
10767781038306,2016-17,220,55,25.8
11101160130724,2016-17,89,0,0.0
11101160130807,2016-17,14,0,0.0
11101161130103,2016-17,22,2,11.1
11626611130038,2016-17,13,0,0.0
11626611132851,2016-17,108,42,42.0
11754811130012,2016-17,23,0,0.0
11754811135656,2016-17,168,38,23.5
11765621133701,2016-17,56,27,48.2
12101240106153,2016-17,39,0,0.0
