cds14,year,ela_pct_met,math_pct_met,ela_mean,math_mean,ela_n,math_n
01316170131763,2024,29.17,20.83,2498.0,2478.6,24,24
01611190106401,2024,,76.09,,2698.2,,46
01611190130229,2024,76.82,54.79,2647.1,2623.7,440,438
01611190132142,2024,66.97,33.33,2627.4,2565.2,218,219
01611190134304,2024,18.52,3.85,2483.1,2445.8,27,26
01611270130450,2024,83.9,69.43,2678.3,2694.3,267,265
01611430131177,2024,67.55,54.28,2623.3,2630.4,638,608
01611430134924,2024,5.88,0.0,2442.7,2416.0,17,15
01611500132225,2024,66.34,49.02,2620.0,2623.7,612,614
01611500135533,2024,15.15,5.56,2457.5,2452.5,33,36
01611680132746,2024,64.44,13.64,2605.8,2504.7,45,44
01611760130062,2024,88.14,72.32,2714.9,2714.7,607,596
01611760130138,2024,25.84,4.4,2506.0,2468.1,89,91
01611760130435,2024,72.22,38.89,2635.5,2568.6,18,18
01611760134270,2024,85.09,73.38,2691.5,2712.6,530,526
01611760134452,2024,50.0,31.38,2571.2,2557.1,292,290
01611760135244,2024,91.0,85.37,2716.1,2759.3,411,410
01611760138693,2024,71.88,50.0,2645.1,2623.1,448,450
01611920133009,2024,0.0,0.0,2419.5,2412.1,22,22
01611920133629,2024,45.17,16.04,2549.2,2500.7,321,318
01611920135319,2024,49.46,21.59,2575.9,2521.6,372,352
01611920138339,2024,25.16,6.61,2487.9,2460.1,322,363
01612000130393,2024,63.64,19.05,2603.2,2542.0,22,21
01612000132670,2024,17.39,2.17,2487.2,2427.4,46,46
01612000133397,2024,76.61,47.39,2652.5,2620.6,436,422
01612000134536,2024,57.84,36.31,2598.2,2563.9,370,369
01612340130054,2024,56.94,25.14,2591.1,2543.2,346,346
01612340135426,2024,3.23,0.0,2420.2,2405.9,31,31
01612420110460,2024,7.81,0.0,2451.9,2409.8,64,64
01612420126763,2024,44.29,22.06,2559.8,2535.9,70,68
01612420134668,2024,62.36,32.43,2609.9,2565.6,736,740
01612590100701,2024,26.47,3.03,2499.1,2447.4,68,66
01612590110189,2024,16.95,3.57,2475.5,2427.8,59,56
01612590112797,2024,56.25,9.38,2584.1,2519.8,64,64
01612590115667,2024,0.0,0.0,2352.7,2383.6,57,57
01612590119859,2024,26.32,5.26,2549.6,2476.1,19,19
01612590125161,2024,8.2,6.4,2426.7,2465.0,122,125
01612590125716,2024,11.98,0.91,2447.2,2403.7,217,219
01612590130146,2024,0.0,0.0,2370.5,2343.7,18,18
01612590130179,2024,18.75,7.14,2488.1,2444.1,16,14
01612590130575,2024,55.36,25.0,2594.6,2544.0,56,56
01612590135905,2024,38.2,16.82,2536.5,2510.4,322,321
01612590136051,2024,59.58,31.97,2598.0,2557.5,334,319
01612590137943,2024,45.06,22.58,2566.2,2540.4,233,217
01612596066450,2024,29.67,8.7,2509.9,2443.6,91,92
01612596114011,2024,45.0,40.0,2553.6,2534.0,20,15
01612750130286,2024,73.33,26.67,2606.3,2537.2,15,15
01612750136515,2024,93.16,79.26,2706.8,2718.7,190,188
01612910134528,2024,13.7,1.43,2472.5,2406.3,73,70
01612910137588,2024,44.76,20.22,2560.8,2519.2,525,544
01612910141473,2024,57.14,6.67,2597.7,2502.5,14,15
