cds14,cupc_year,enroll_9_12,upp_pct,lcff_plus_flag
19753090135145,2018-2019,156,57.05,N
19753090136531,2018-2019,48,39.58,N
19753090136648,2018-2019,1348,64.84,N
19753090137703,2018-2019,9,22.22,N
19753090137786,2018-2019,99,82.83,Y
19753091995786,2018-2019,379,43.8,N
19753330000001,2018-2019,29,6.9,N
19753331935808,2018-2019,2552,7.48,N
19753410000001,2018-2019,30,13.33,N
19753410116285,2018-2019,8,87.5,Y
19753411937143,2018-2019,3040,19.54,N
19753411995752,2018-2019,39,43.59,N
19756636120158,2018-2019,470,37.66,N
19756971996693,2018-2019,405,72.1,N
19757130000001,2018-2019,44,63.64,N
19757131930122,2018-2019,133,74.44,N
19757131930163,2018-2019,2389,70.11,N
19757131934553,2018-2019,2257,61.36,N
19757131937697,2018-2019,2032,79.08,Y
19757131995430,2018-2019,76,69.74,N
19768690119016,2018-2019,567,37.74,N
19768690119636,2018-2019,573,51.66,N
19768690131128,2018-2019,436,47.94,N
19768690138545,2018-2019,19,31.58,N
19768850132928,2018-2019,73,86.3,Y
19769680109926,2018-2019,248,96.37,Y
19769920133900,2018-2019,288,88.89,Y
20102072030153,2018-2019,31,100.0,Y
20102072030229,2018-2019,349,89.97,Y
20102076077200,2018-2019,156,82.69,Y
20652012030047,2018-2019,25,84.0,Y
20652012032357,2018-2019,1088,71.78,N
20652430110965,2018-2019,3270,92.63,Y
20652430118950,2018-2019,83,55.42,N
20652430123414,2018-2019,22,81.82,Y
20652430123620,2018-2019,165,96.36,Y
20652430131086,2018-2019,46,100.0,Y
20652432035640,2018-2019,177,92.66,Y
20652432035707,2018-2019,2084,78.45,Y
20755800110395,2018-2019,12,100.0,Y
20755800111443,2018-2019,7,57.14,N
20755800123315,2018-2019,2,50.0,N
20755800134486,2018-2019,22,36.36,N
20755802030161,2018-2019,31,67.74,N
20755802030203,2018-2019,561,40.46,N
20756060100180,2018-2019,11,100.0,Y
20756060117010,2018-2019,181,53.04,N
20756060125021,2018-2019,324,34.88,N
20756060132936,2018-2019,100,58.0,N
20764140115550,2018-2019,16,68.75,N
20764142030013,2018-2019,638,43.89,N
20764142030039,2018-2019,33,72.73,N
20764142030070,2018-2019,3,100.0,Y
20764142030104,2018-2019,48,66.67,N
20764142030237,2018-2019,126,33.33,N
21102150000001,2018-2019,9,88.89,Y
21102150113183,2018-2019,10,100.0,Y
21102152130037,2018-2019,74,81.08,Y
21102152130102,2018-2019,6,100.0,Y
21102156069504,2018-2019,82,9.76,N
21654170000001,2018-2019,23,17.39,N
21654172130045,2018-2019,36,27.78,N
21654172132264,2018-2019,71,71.83,N
21654172132272,2018-2019,1410,36.67,N
21654172133056,2018-2019,1135,25.64,N
21654660000001,2018-2019,15,33.33,N
21654662133254,2018-2019,62,75.81,Y
21654662133262,2018-2019,1333,63.77,N
21654662134005,2018-2019,1230,40.33,N
21654820000001,2018-2019,30,3.33,N
21654822130078,2018-2019,124,6.45,N
21654822131340,2018-2019,1301,11.22,N
21654822132587,2018-2019,1928,8.71,N
21654822133692,2018-2019,1591,11.25,N
21654822134419,2018-2019,69,37.68,N
21733612134310,2018-2019,156,69.23,N
22102236105308,2018-2019,16,93.75,Y
22655320000001,2018-2019,1,100.0,Y
22655322230035,2018-2019,22,81.82,Y
22655322230068,2018-2019,16,43.75,N
22655322230076,2018-2019,9,66.67,N
22655322230084,2018-2019,2,100.0,Y
22655322235356,2018-2019,490,61.63,N
23102312330124,2018-2019,18,100.0,Y
23102312330447,2018-2019,50,90.0,Y
23655400000001,2018-2019,1,100.0,Y
23655402330058,2018-2019,9,88.89,Y
23655402330900,2018-2019,136,86.76,Y
23655576116669,2018-2019,32,53.12,N
23655650123737,2018-2019,6,83.33,Y
23655652330215,2018-2019,20,90.0,Y
23655652330355,2018-2019,22,86.36,Y
23655652331361,2018-2019,512,61.91,N
23655812330090,2018-2019,12,83.33,Y
23655812330306,2018-2019,3,66.67,N
23655812333185,2018-2019,174,35.63,N
23655992330108,2018-2019,10,70.0,N
23655992333649,2018-2019,123,67.48,N
23656072330033,2018-2019,14,92.86,Y
23656072334563,2018-2019,104,96.15,Y
23656150000001,2018-2019,2,0.0,N
23656150128280,2018-2019,90,53.33,N
23656152330413,2018-2019,100,50.0,N
23656152330454,2018-2019,68,89.71,Y
23656152334704,2018-2019,125,88.0,Y
23656152335024,2018-2019,1619,73.69,N
23656230112300,2018-2019,25,96.0,Y
23656230136887,2018-2019,55,89.09,Y
23656232330363,2018-2019,48,68.75,N
23656232335487,2018-2019,415,68.43,N
23738662330041,2018-2019,65,70.77,N
23739162332260,2018-2019,110,65.45,N
23752182330207,2018-2019,10,60.0,N
23752182332724,2018-2019,16,62.5,N
24102490000001,2018-2019,3,100.0,Y
24102490106518,2018-2019,88,68.18,N
24102490138032,2018-2019,19,52.63,N
24102492430056,2018-2019,25,100.0,Y
24102492430148,2018-2019,179,80.45,Y
24102492430163,2018-2019,86,91.86,Y
24102492430171,2018-2019,121,85.95,Y
24102496068498,2018-2019,37,94.59,Y
24102496069199,2018-2019,266,68.42,N
24656982430080,2018-2019,23,69.57,N
24656982430106,2018-2019,2,50.0,N
24656982432409,2018-2019,696,55.89,N
24657302430064,2018-2019,32,96.88,Y
24657302433001,2018-2019,479,81.0,Y
24657550119073,2018-2019,106,66.04,N
24657550120923,2018-2019,1761,77.91,Y
24657552431492,2018-2019,102,88.24,Y
24657552434207,2018-2019,1411,65.2,N
24657890107672,2018-2019,70,92.86,Y
24657890127373,2018-2019,1631,67.63,N
24657892430049,2018-2019,55,89.09,Y
24657892430098,2018-2019,1752,81.85,Y
24657892430205,2018-2019,1917,70.06,N
24657892430601,2018-2019,1860,78.98,Y
24657892433605,2018-2019,1243,80.93,Y
24657892435204,2018-2019,1723,75.28,Y
24657892439602,2018-2019,272,96.32,Y
24736192430031,2018-2019,26,88.46,Y
24736192431807,2018-2019,565,82.3,Y
24753172430015,2018-2019,50,90.0,Y
24753172431203,2018-2019,664,80.12,Y
24753660000001,2018-2019,1,0.0,N
24753662430114,2018-2019,769,83.88,Y
25102566069314,2018-2019,3,66.67,N
25658962537702,2018-2019,21,57.14,N
25735852530020,2018-2019,9,77.78,Y
25735852530111,2018-2019,2,50.0,N
25735852535409,2018-2019,264,63.64,N
25735932530087,2018-2019,3,100.0,Y
25735934737250,2018-2019,109,82.57,Y
26102640124990,2018-2019,285,99.65,Y
26102640128645,2018-2019,1,0.0,N
26102642630028,2018-2019,13,46.15,N
26736682633006,2018-2019,65,47.69,N
26736682635001,2018-2019,45,64.44,N
26736922630010,2018-2019,361,44.88,N
26736922630036,2018-2019,10,70.0,N
27102720125765,2018-2019,129,40.31,N
27102722730117,2018-2019,70,100.0,Y
27102722730232,2018-2019,197,60.91,N
27102722730265,2018-2019,140,91.43,Y
27102726069512,2018-2019,46,69.57,N
27659790135111,2018-2019,62,32.26,N
27659790136010,2018-2019,50,44.0,N
27659790136218,2018-2019,191,39.27,N
27659872730018,2018-2019,14,35.71,N
27659872730414,2018-2019,845,14.2,N
27660680134254,2018-2019,77,75.32,Y
27660682730083,2018-2019,42,85.71,Y
27660682730174,2018-2019,1218,86.7,Y
27660682732170,2018-2019,1084,77.58,Y
27660920111435,2018-2019,584,64.04,N
27660920112896,2018-2019,8,75.0,Y
27660922730240,2018-2019,108,49.07,N
27660922732253,2018-2019,103,85.44,Y
27660922732808,2018-2019,1350,46.07,N
27660922735348,2018-2019,1121,71.01,N
27661342731115,2018-2019,21,47.62,N
27661342733657,2018-2019,621,21.1,N
27661590124610,2018-2019,240,78.33,Y
27661592730109,2018-2019,2904,86.05,Y
27661592730166,2018-2019,2664,73.5,N
27661592730273,2018-2019,16,93.75,Y
27661592733178,2018-2019,2285,72.3,N
27661592734481,2018-2019,175,91.43,Y
27661592734556,2018-2019,2661,56.22,N
27738252730034,2018-2019,1263,81.16,Y
27738252730125,2018-2019,116,76.72,Y
27738252730141,2018-2019,39,92.31,Y
27751502730133,2018-2019,5,60.0,N
27754400106112,2018-2019,44,90.91,Y
27754402730190,2018-2019,1492,89.75,Y
27754732730067,2018-2019,28,82.14,Y
27754732730885,2018-2019,817,76.38,Y
27754736026090,2018-2019,1,100.0,Y
28102802830073,2018-2019,13,100.0,Y
28102802830099,2018-2019,90,75.56,Y
28662412830065,2018-2019,9,66.67,N
28662412831758,2018-2019,222,62.61,N
28662660000001,2018-2019,7,57.14,N
28662660101964,2018-2019,122,23.77,N
28662660121087,2018-2019,1617,35.13,N
28662662830016,2018-2019,1801,40.64,N
28662662830115,2018-2019,417,36.21,N
28662662830149,2018-2019,173,66.47,N
28662662835601,2018-2019,1892,54.55,N
28662902837102,2018-2019,497,34.61,N
29102980114314,2018-2019,95,50.53,N
29102980116681,2018-2019,14,78.57,Y
29102980116913,2018-2019,4,100.0,Y
29102980126219,2018-2019,307,42.02,N
29102980130823,2018-2019,440,96.14,Y
29102982930147,2018-2019,739,95.81,Y
29663570000001,2018-2019,12,91.67,Y
29663570112367,2018-2019,169,28.4,N
29663570124834,2018-2019,179,31.28,N
29663572930030,2018-2019,85,52.94,N
29663572930048,2018-2019,615,24.88,N
29663572930071,2018-2019,152,71.71,N
29663572930089,2018-2019,32,37.5,N
29663572935500,2018-2019,1531,42.26,N
29768776111371,2018-2019,20,70.0,N
30103060126037,2018-2019,529,66.92,N
30103060132910,2018-2019,241,98.76,Y
30103060133959,2018-2019,79,49.37,N
30103060133983,2018-2019,305,75.08,Y
30103060134239,2018-2019,150,52.0,N
30103060134841,2018-2019,209,81.34,Y
30103060134940,2018-2019,16,25.0,N
30103063030426,2018-2019,278,100.0,Y
30103063030632,2018-2019,289,27.34,N
30103063030764,2018-2019,1459,85.88,Y
30103066069553,2018-2019,206,38.35,N
30664310000001,2018-2019,19,52.63,N
30664313030038,2018-2019,2903,39.37,N
30664313030228,2018-2019,3099,89.35,Y
30664313030384,2018-2019,98,70.41,N
30664313030616,2018-2019,795,35.22,N
30664313032786,2018-2019,670,85.82,Y
30664313033057,2018-2019,2718,83.11,Y
30664313033115,2018-2019,2435,51.17,N
30664313033784,2018-2019,1994,83.65,Y
30664313034204,2018-2019,1702,89.48,Y
30664313036712,2018-2019,1863,82.56,Y
30664313038239,2018-2019,1942,82.7,Y
30664316066815,2018-2019,183,79.23,Y
30664490000001,2018-2019,11,9.09,N
30664493030624,2018-2019,53,66.04,N
30664493030640,2018-2019,1794,31.44,N
30664640000001,2018-2019,34,14.71,N
30664640106765,2018-2019,2050,42.49,N
30664640113381,2018-2019,2671,28.79,N
30664640124131,2018-2019,160,14.37,N
30664643030210,2018-2019,2083,28.61,N
30664643030574,2018-2019,3043,19.82,N
30664643030756,2018-2019,2514,8.71,N
30664643030798,2018-2019,11,9.09,N
30664643035987,2018-2019,161,70.19,N
30664643036001,2018-2019,3012,26.69,N
30664643038569,2018-2019,2397,27.16,N
30664646120356,2018-2019,119,31.09,N
30665140000001,2018-2019,17,35.29,N
30665143030335,2018-2019,457,75.49,Y
30665143030855,2018-2019,1937,80.02,Y
30665143032505,2018-2019,1979,54.67,N
30665143033362,2018-2019,2179,50.34,N
30665143033610,2018-2019,395,85.57,Y
30665143037090,2018-2019,1813,52.18,N
30665143037348,2018-2019,2304,36.89,N
30665143037496,2018-2019,2614,29.88,N
30665220000001,2018-2019,17,52.94,N
30665223030103,2018-2019,238,86.13,Y
30665223030434,2018-2019,1961,77.05,Y
30665223032752,2018-2019,2284,70.27,N
30665223033578,2018-2019,2133,65.59,N
30665223033933,2018-2019,1711,89.07,Y
30665223035581,2018-2019,1643,38.04,N
30665223035706,2018-2019,1792,76.79,Y
30665223036555,2018-2019,2020,85.89,Y
30665226028633,2018-2019,35,62.86,N
30665226104129,2018-2019,87,64.37,N
30665480000001,2018-2019,24,45.83,N
30665483030145,2018-2019,1263,62.47,N
30665483030368,2018-2019,226,31.42,N
30665483031895,2018-2019,2440,17.3,N
30665483032158,2018-2019,3531,33.56,N
30665483032943,2018-2019,2983,19.54,N
30665483034410,2018-2019,2443,28.78,N
30665483038445,2018-2019,2742,84.1,Y
30665483038551,2018-2019,315,65.08,N
30665550000001,2018-2019,4,25.0,N
30665553033206,2018-2019,1068,12.17,N
30665970000001,2018-2019,10,20.0,N
30665970111666,2018-2019,184,62.5,N
30665973030186,2018-2019,62,32.26,N
30665973031697,2018-2019,1728,10.42,N
30665973031853,2018-2019,1180,63.9,N
30665973032000,2018-2019,1268,75.24,Y
30665973034907,2018-2019,169,75.15,Y
30665973035045,2018-2019,2381,35.78,N
30665976029284,2018-2019,1,100.0,Y
30666210000001,2018-2019,16,37.5,N
30666210114769,2018-2019,60,71.67,N
30666210118174,2018-2019,64,29.69,N
30666213030046,2018-2019,2195,16.77,N
30666213031952,2018-2019,2115,52.29,N
30666213035409,2018-2019,1727,78.17,Y
30666213035748,2018-2019,208,77.4,Y
30666213038098,2018-2019,2306,37.38,N
30666216029920,2018-2019,19,57.89,N
30666216061725,2018-2019,4,75.0,Y
30666470000001,2018-2019,10,30.0,N
30666470119404,2018-2019,1818,15.24,N
30666473030053,2018-2019,1580,25.76,N
30666473030483,2018-2019,77,42.86,N
30666473031929,2018-2019,1990,27.14,N
30666473031945,2018-2019,151,81.46,Y
30666473038023,2018-2019,2724,58.59,N
30666476089478,2018-2019,101,49.5,N
30666476119556,2018-2019,86,17.44,N
30666700000001,2018-2019,21,80.95,Y
30666700106567,2018-2019,430,84.88,Y
30666700108365,2018-2019,2435,68.83,N
30666700114736,2018-2019,2449,86.73,Y
30666700135897,2018-2019,39,87.18,Y
30666703030475,2018-2019,385,90.91,Y
30666703030491,2018-2019,1660,91.69,Y
30666703030608,2018-2019,349,77.36,Y
30666703030723,2018-2019,1665,12.79,N
30666703034998,2018-2019,371,93.53,Y
30666703035821,2018-2019,1508,83.89,Y
30666703036357,2018-2019,3057,90.45,Y
30666703036456,2018-2019,2150,90.19,Y
30666706115133,2018-2019,21,95.24,Y
30736350000001,2018-2019,16,37.5,N
30736353030061,2018-2019,2352,32.82,N
30736353030079,2018-2019,223,69.51,N
30736353030244,2018-2019,1522,40.67,N
30736353030392,2018-2019,2821,21.27,N
30736353030509,2018-2019,61,21.31,N
30736353034956,2018-2019,2133,26.02,N
30736356089510,2018-2019,100,30.0,N
30736430000001,2018-2019,12,41.67,N
30736430102871,2018-2019,3031,25.77,N
30736433030590,2018-2019,81,35.8,N
30736433032109,2018-2019,2467,31.01,N
30736433032919,2018-2019,258,71.32,N
30736433037553,2018-2019,2285,69.85,N
30736500000001,2018-2019,21,38.1,N
30736500116046,2018-2019,72,25.0,N
30736500133405,2018-2019,1382,27.13,N
30736503030129,2018-2019,103,62.14,N
30736503030152,2018-2019,1991,31.14,N
30736503030285,2018-2019,2466,26.56,N
30736503030467,2018-2019,12,33.33,N
30736503030657,2018-2019,2195,21.64,N
30736503035102,2018-2019,2312,25.74,N
30739240000001,2018-2019,3,0.0,N
30739243033917,2018-2019,3137,17.15,N
30768930130765,2018-2019,145,80.0,Y
31103140113399,2018-2019,5,80.0,Y
31103140119214,2018-2019,149,35.57,N
31103140126904,2018-2019,76,39.47,N
31103143130101,2018-2019,19,100.0,Y
31103143130259,2018-2019,36,100.0,Y
31103146069322,2018-2019,41,14.63,N
31668450121418,2018-2019,320,30.0,N
31668940000001,2018-2019,6,16.67,N
31668940102293,2018-2019,198,33.84,N
31668940138081,2018-2019,93,33.33,N
31668943131687,2018-2019,72,62.5,N
31668943131851,2018-2019,581,26.68,N
31668943132453,2018-2019,1714,15.34,N
31668943135704,2018-2019,1340,32.61,N
31669280000001,2018-2019,18,11.11,N
31669280116459,2018-2019,1809,53.29,N
31669283130119,2018-2019,167,26.35,N
31669283130176,2018-2019,2127,18.85,N
31669283130184,2018-2019,2073,10.95,N
31669283130309,2018-2019,102,63.73,N
31669283135308,2018-2019,2044,26.08,N
31669283136504,2018-2019,1968,28.56,N
31669443130010,2018-2019,428,42.29,N
31669443130077,2018-2019,50,60.0,N
31669443130192,2018-2019,6,0.0,N
31669443138500,2018-2019,747,31.46,N
31669510000001,2018-2019,10,10.0,N
31669513130036,2018-2019,100,49.0,N
31669513130168,2018-2019,823,49.09,N
31669513134657,2018-2019,2018,30.33,N
31750850000001,2018-2019,10,10.0,N
31750850108084,2018-2019,1959,16.23,N
31750850119487,2018-2019,609,11.99,N
31750850128561,2018-2019,102,19.61,N
31750853130150,2018-2019,2177,14.29,N
31750853130200,2018-2019,75,37.33,N
32103220100057,2018-2019,7,57.14,N
32669693230042,2018-2019,10,90.0,Y
32669693230083,2018-2019,120,50.83,N
32669693232006,2018-2019,102,47.06,N
32669693233509,2018-2019,59,61.02,N
32669693235603,2018-2019,175,48.0,N
32669693236007,2018-2019,198,30.3,N
33103300110833,2018-2019,1033,59.54,N
33103300125237,2018-2019,278,88.49,Y
33103300128397,2018-2019,581,89.5,Y
33103300128777,2018-2019,172,72.09,N
33103300134320,2018-2019,93,89.25,Y
33103300137836,2018-2019,85,55.29,N
33103300137869,2018-2019,61,36.07,N
33103300138602,2018-2019,221,16.74,N
33103303330123,2018-2019,124,100.0,Y
33103303331055,2018-2019,267,87.27,Y
33103306069207,2018-2019,243,82.72,Y
33669770000001,2018-2019,16,37.5,N
33669770125732,2018-2019,1638,61.66,N
33669770134189,2018-2019,1,100.0,Y
33669770135061,2018-2019,163,96.93,Y
33669773330008,2018-2019,1723,78.58,Y
33669773334299,2018-2019,2123,88.37,Y
33669773337128,2018-2019,168,85.12,Y
33669850000001,2018-2019,4,50.0,N
33669853330214,2018-2019,1090,83.94,Y
33669853330222,2018-2019,72,77.78,Y
33669853330974,2018-2019,198,75.25,Y
33669930000001,2018-2019,7,42.86,N
33669930129882,2018-2019,69,49.28,N
33669933330479,2018-2019,2858,58.47,N
33669933330842,2018-2019,109,73.39,N
33670330000001,2018-2019,46,23.91,N
33670330110106,2018-2019,123,86.18,Y
33670330110627,2018-2019,4532,38.88,N
33670330110643,2018-2019,1,0.0,N
33670330110759,2018-2019,620,40.0,N
33670330135574,2018-2019,61,31.15,N
33670333330131,2018-2019,134,46.27,N
33670333330446,2018-2019,3142,54.04,N
33670333330586,2018-2019,596,68.79,N
33670333330602,2018-2019,3,100.0,Y
33670333330701,2018-2019,3720,28.71,N
33670333331600,2018-2019,2445,65.11,N
33670333334232,2018-2019,2062,43.26,N
33670336068753,2018-2019,23,39.13,N
33670580114504,2018-2019,304,73.68,N
33670580118885,2018-2019,2087,64.25,N
33670583330388,2018-2019,2003,46.78,N
33670583330669,2018-2019,2635,54.12,N
33670583330909,2018-2019,166,49.4,N
33670583331113,2018-2019,211,89.57,Y
33670583333192,2018-2019,2066,85.38,Y
33670820000001,2018-2019,23,26.09,N
33670820106716,2018-2019,275,68.36,N
33670820113159,2018-2019,1671,85.82,Y
33670820120675,2018-2019,284,26.06,N
33670820132167,2018-2019,60,96.67,Y
33670823330065,2018-2019,329,88.45,Y
33670823330503,2018-2019,282,83.33,Y
33670823330537,2018-2019,1797,88.65,Y
33670823332673,2018-2019,2489,70.23,N
33670900000001,2018-2019,11,81.82,Y
33670900114157,2018-2019,2421,66.83,N
33670900127720,2018-2019,103,65.05,N
33670903330412,2018-2019,1671,76.36,Y
33670903334687,2018-2019,217,80.18,Y
33670903337136,2018-2019,1546,80.21,Y
33671160109843,2018-2019,533,24.2,N
33671240000001,2018-2019,21,47.62,N
33671240105940,2018-2019,19,84.21,Y
33671240128868,2018-2019,133,78.95,Y
33671243330396,2018-2019,2173,74.55,N
33671243330438,2018-2019,2573,71.63,N
33671243330685,2018-2019,14,100.0,Y
33671243330800,2018-2019,135,85.93,Y
33671243330958,2018-2019,87,87.36,Y
33671243331071,2018-2019,2118,83.95,Y
33671243333762,2018-2019,334,85.33,Y
33671243333770,2018-2019,2327,88.01,Y
33671573331014,2018-2019,632,64.08,N
33671730000001,2018-2019,2,50.0,N
33671730127316,2018-2019,1570,79.11,Y
33671730133090,2018-2019,140,78.57,Y
33671733330578,2018-2019,1660,89.46,Y
33671733330818,2018-2019,1770,88.02,Y
33671733331121,2018-2019,300,93.33,Y
33671733335130,2018-2019,1659,80.77,Y
33671810138610,2018-2019,10,40.0,N
33671813331139,2018-2019,85,80.0,Y
33671813335759,2018-2019,843,72.36,N
33672070000001,2018-2019,20,45.0,N
33672070101170,2018-2019,532,84.4,Y
33672070113191,2018-2019,2875,68.9,N
33672070134981,2018-2019,62,58.06,N
33672070137620,2018-2019,83,93.98,Y
33672073330172,2018-2019,213,77.46,Y
33672073330727,2018-2019,3146,50.03,N
33672073335973,2018-2019,2245,90.96,Y
33672150000001,2018-2019,31,58.06,N
33672150115709,2018-2019,62,35.48,N
33672150131359,2018-2019,235,32.77,N
33672150132498,2018-2019,539,28.94,N
33672153330024,2018-2019,1928,74.53,N
33672153330362,2018-2019,253,58.5,N
33672153330511,2018-2019,38,81.58,Y
33672153330677,2018-2019,143,76.22,Y
33672153330859,2018-2019,3071,35.17,N
33672153334406,2018-2019,2228,76.17,Y
33672153336237,2018-2019,2465,57.44,N
33672153336492,2018-2019,2157,83.77,Y
33672153336955,2018-2019,197,93.91,Y
33672156032767,2018-2019,62,74.19,N
33672490000001,2018-2019,9,55.56,N
33672493331006,2018-2019,125,74.4,N
33672493337649,2018-2019,250,81.2,Y
33672493337656,2018-2019,2676,74.48,N
33672496114748,2018-2019,318,58.18,N
33736760100255,2018-2019,1997,95.29,Y
33736760121673,2018-2019,226,93.36,Y
33736763330032,2018-2019,132,96.97,Y
33736763330354,2018-2019,330,93.94,Y
33736763330990,2018-2019,2659,92.06,Y
33751760000001,2018-2019,12,8.33,N
33751760107920,2018-2019,1840,76.14,Y
33751760116343,2018-2019,197,63.45,N
33751763330115,2018-2019,322,71.43,N
33751763330487,2018-2019,2157,54.01,N
33751763332350,2018-2019,2126,61.85,N
33751920000001,2018-2019,14,28.57,N
33751920105734,2018-2019,3161,19.49,N
33751923330370,2018-2019,2914,28.41,N
33751923330495,2018-2019,173,47.4,N
33751923330636,2018-2019,241,25.31,N
33751923330743,2018-2019,2975,30.96,N
33751923330917,2018-2019,332,23.19,N
33752000000001,2018-2019,9,44.44,N
33752000100420,2018-2019,3554,31.23,N
33752000102079,2018-2019,268,43.28,N
33752000118794,2018-2019,2466,37.23,N
33752003330529,2018-2019,2255,28.12,N
33752420000001,2018-2019,14,42.86,N
33752420109108,2018-2019,1902,82.91,Y
33752420109652,2018-2019,8,87.5,Y
33752420123190,2018-2019,92,80.43,Y
33752420133306,2018-2019,2257,80.73,Y
33752423330552,2018-2019,2074,74.93,N
33752423330560,2018-2019,270,87.04,Y
33769430132522,2018-2019,39,66.67,N
34103480106229,2018-2019,53,47.17,N
34103480106237,2018-2019,86,88.37,Y
34103480106245,2018-2019,67,89.55,Y
34103480106278,2018-2019,93,100.0,Y
34103480106294,2018-2019,131,47.33,N
34103480106302,2018-2019,15,66.67,N
34103480118745,2018-2019,165,72.73,N
34103480136275,2018-2019,78,61.54,N
34673140000001,2018-2019,123,40.65,N
34673140105916,2018-2019,2288,67.74,N
34673140108753,2018-2019,2560,27.58,N
34673140116897,2018-2019,2207,32.08,N
34673140137281,2018-2019,315,68.25,N
34673143430170,2018-2019,1611,94.85,Y
34673143430311,2018-2019,179,67.04,N
34673143430329,2018-2019,138,75.36,Y
34673143430352,2018-2019,145,59.31,N
34673143430477,2018-2019,1548,92.96,Y
34673143430592,2018-2019,1968,47.31,N
34673143430618,2018-2019,2523,58.78,N
34673143430873,2018-2019,2656,36.78,N
34673143432002,2018-2019,108,84.26,Y
34673143432572,2018-2019,1879,38.16,N
34673146032999,2018-2019,93,79.57,Y
34673146112254,2018-2019,206,45.63,N
34673220127860,2018-2019,54,55.56,N
34673300000001,2018-2019,41,31.71,N
34673300113571,2018-2019,1896,8.39,N
34673303430501,2018-2019,182,41.76,N
34673303430667,2018-2019,31,93.55,Y
34673303430709,2018-2019,97,41.24,N
34673303431533,2018-2019,1855,68.68,N
34673303433216,2018-2019,2472,15.57,N
34673303434792,2018-2019,119,82.35,Y
34673550000001,2018-2019,1,100.0,Y
34673550119131,2018-2019,1180,49.15,N
34673553432903,2018-2019,45,82.22,Y
34673553433471,2018-2019,1000,65.6,N
34674130000001,2018-2019,1,0.0,N
34674130107383,2018-2019,3,100.0,Y
34674130112078,2018-2019,82,57.32,N
34674133430469,2018-2019,17,52.94,N
34674133430550,2018-2019,14,78.57,Y
34674134835302,2018-2019,413,51.09,N
34674135731708,2018-2019,192,58.33,N
34674210132019,2018-2019,31,70.97,N
34674210137950,2018-2019,237,93.67,Y
34674390000001,2018-2019,144,52.78,N
34674390101881,2018-2019,207,68.6,N
34674390101899,2018-2019,256,49.22,N
34674390101907,2018-2019,275,60.36,N
34674390101972,2018-2019,1311,69.03,N
34674390102038,2018-2019,633,70.77,N
34674390108951,2018-2019,232,75.43,Y
34674390114546,2018-2019,271,66.05,N
34674390137406,2018-2019,505,91.49,Y
34674390137844,2018-2019,6,83.33,Y
34674393430154,2018-2019,188,92.55,Y
34674393430519,2018-2019,307,82.74,Y
34674393430865,2018-2019,840,57.86,N
34674393431012,2018-2019,1730,88.38,Y
34674393434636,2018-2019,1568,83.04,Y
34674393434768,2018-2019,2184,61.68,N
34674393435419,2018-2019,2375,60.13,N
34674396061832,2018-2019,165,64.85,N
34674470000001,2018-2019,43,46.51,N
34674470121467,2018-2019,191,90.58,Y
34674470133975,2018-2019,24,70.83,N
34674470135772,2018-2019,103,33.98,N
34674473430048,2018-2019,899,66.18,N
34674473430097,2018-2019,53,67.92,N
34674473430386,2018-2019,197,51.27,N
34674473430394,2018-2019,41,80.49,Y
34674473430493,2018-2019,2025,27.85,N
34674473430691,2018-2019,870,60.92,N
34674473430717,2018-2019,2868,58.61,N
34674473430758,2018-2019,202,50.0,N
34674473431111,2018-2019,1181,35.65,N
34674473432051,2018-2019,1730,50.69,N
34674473432317,2018-2019,1320,47.65,N
34674473432838,2018-2019,596,95.81,Y
34674473435930,2018-2019,1801,53.53,N
34674473436714,2018-2019,1875,22.03,N
34674473438504,2018-2019,620,77.42,Y
34674476034664,2018-2019,108,52.78,N
34674476034938,2018-2019,38,31.58,N
34739730000001,2018-2019,5,40.0,N
34739733430378,2018-2019,1292,60.45,N
34739733430451,2018-2019,59,74.58,N
34752830000001,2018-2019,8,25.0,N
34752830102236,2018-2019,2243,56.0,N
34752830112425,2018-2019,619,49.6,N
34752830126060,2018-2019,337,59.94,N
34752833430584,2018-2019,979,79.37,Y
34752833430626,2018-2019,114,76.32,Y
34752833430659,2018-2019,514,25.1,N
34765050000001,2018-2019,55,52.73,N
34765050100487,2018-2019,2,100.0,Y
34765050101832,2018-2019,372,91.94,Y
34765050108415,2018-2019,387,64.86,N
34765050108795,2018-2019,202,70.3,N
34765050108837,2018-2019,352,85.8,Y
34765050114272,2018-2019,53,88.68,Y
34765050125203,2018-2019,11,100.0,Y
34765050130757,2018-2019,325,94.46,Y
34765053430261,2018-2019,124,88.71,Y
34765053430634,2018-2019,309,79.61,Y
34765053430881,2018-2019,158,86.71,Y
34765053433265,2018-2019,1189,80.91,Y
34765053433794,2018-2019,1987,82.84,Y
34765053434370,2018-2019,790,82.91,Y
34765053436979,2018-2019,1614,73.42,N
34765056069736,2018-2019,57,75.44,Y
35103550132308,2018-2019,12,100.0,Y
35103553530037,2018-2019,13,92.31,Y
35103553530045,2018-2019,3,100.0,Y
35675383530029,2018-2019,103,83.5,Y
35675383537008,2018-2019,3005,59.8,N
35752593530060,2018-2019,337,54.01,N
36103630107466,2018-2019,488,93.65,Y
36103633630431,2018-2019,162,100.0,Y
36103633630761,2018-2019,1281,50.9,N
36103636069348,2018-2019,489,72.6,N
36675870128462,2018-2019,370,83.78,Y
36676110000001,2018-2019,2,50.0,N
