cds14,cupc_year,enroll_9_12,upp_pct,lcff_plus_flag
07100740114470,2016-2017,333,82.28,Y
07100740118208,2016-2017,24,54.17,N
07100740120444,2016-2017,126,100.0,Y
07100740129684,2016-2017,96,59.38,N
07100740134114,2016-2017,90,17.78,N
07100740730614,2016-2017,46,86.96,Y
07100740731380,2016-2017,2197,19.34,N
07100746077168,2016-2017,46,39.13,N
07616300107524,2016-2017,35,5.71,N
07616300730283,2016-2017,1338,2.84,N
07616300731125,2016-2017,1309,2.22,N
07616300733725,2016-2017,1530,10.98,N
07616300734244,2016-2017,1277,2.04,N
07616480110494,2016-2017,173,71.1,N
07616480117218,2016-2017,712,54.49,N
07616480730101,2016-2017,158,74.68,N
07616480730259,2016-2017,252,56.75,N
07616480730465,2016-2017,2156,57.14,N
07616480730481,2016-2017,4,75.0,Y
07616480730861,2016-2017,1947,73.29,N
07616630130930,2016-2017,227,50.66,N
07616970737023,2016-2017,558,58.06,N
07616970737619,2016-2017,52,76.92,Y
07617210107797,2016-2017,2499,18.09,N
07617210730457,2016-2017,2643,38.74,N
07617210730572,2016-2017,295,28.14,N
07617210733980,2016-2017,2579,32.92,N
07617210733998,2016-2017,168,61.9,N
07617390730440,2016-2017,63,41.27,N
07617390730473,2016-2017,42,28.57,N
07617390730549,2016-2017,1171,20.32,N
07617540730044,2016-2017,1558,9.56,N
07617540730317,2016-2017,131,15.27,N
07617540730333,2016-2017,28,82.14,Y
07617540730358,2016-2017,46,60.87,N
07617540730416,2016-2017,37,94.59,Y
07617540730424,2016-2017,106,54.72,N
07617540730655,2016-2017,12,91.67,Y
07617540731646,2016-2017,2054,21.86,N
07617540731836,2016-2017,1489,50.17,N
07617540734566,2016-2017,1344,79.84,Y
07617540734764,2016-2017,288,74.65,N
07617540737809,2016-2017,1246,77.45,Y
07617880730184,2016-2017,222,81.98,Y
07617880735407,2016-2017,3411,70.54,N
07617960101477,2016-2017,548,86.68,Y
07617960132100,2016-2017,226,71.24,N
07617960132233,2016-2017,202,89.6,Y
07617960730291,2016-2017,285,51.58,N
07617960730325,2016-2017,134,62.69,N
07617960730598,2016-2017,996,44.18,N
07617960732164,2016-2017,1331,71.83,N
07617960732941,2016-2017,1460,51.03,N
07617960733253,2016-2017,345,82.61,Y
07617960733659,2016-2017,915,88.63,Y
07617960735316,2016-2017,1164,62.8,N
07617960735902,2016-2017,1589,97.04,Y
07618040113118,2016-2017,2998,7.2,N
07618040730051,2016-2017,2718,6.22,N
07618040730218,2016-2017,160,3.75,N
07618040734368,2016-2017,2368,2.91,N
07618040736504,2016-2017,2061,2.23,N
07618040736819,2016-2017,51,21.57,N
08100820106625,2016-2017,5,100.0,Y
08100820106666,2016-2017,7,100.0,Y
08100820830042,2016-2017,31,100.0,Y
08100820830059,2016-2017,256,47.66,N
08618200833004,2016-2017,927,54.15,N
08618200836205,2016-2017,70,78.57,Y
09100900106047,2016-2017,15,100.0,Y
09100900930016,2016-2017,17,100.0,Y
09100900930123,2016-2017,357,35.29,N
09100900930131,2016-2017,146,100.0,Y
09100906069470,2016-2017,36,5.56,N
09618530930081,2016-2017,2429,5.15,N
09618530930164,2016-2017,1053,30.01,N
09618530930214,2016-2017,80,8.75,N
09618530930222,2016-2017,46,65.22,N
09618530932756,2016-2017,1143,34.73,N
09618530934554,2016-2017,85,62.35,N
09618530936302,2016-2017,1794,16.33,N
09619030930040,2016-2017,70,78.57,Y
09619030930107,2016-2017,17,94.12,Y
09619030937805,2016-2017,1029,56.27,N
09737830121566,2016-2017,26,50.0,N
09737830930073,2016-2017,321,41.43,N
09737830930099,2016-2017,21,85.71,Y
10101080109991,2016-2017,870,90.69,Y
10101080111682,2016-2017,18,16.67,N
10101080119628,2016-2017,76,75.0,Y
10101081030337,2016-2017,215,100.0,Y
10101081030899,2016-2017,106,94.34,Y
10101086069488,2016-2017,125,79.2,Y
10621170110270,2016-2017,34,88.24,Y
10621170113555,2016-2017,2487,19.06,N
10621170118018,2016-2017,301,25.91,N
10621171030196,2016-2017,2096,39.93,N
10621171030469,2016-2017,65,53.85,N
10621171030501,2016-2017,2699,27.83,N
10621171030683,2016-2017,2335,51.05,N
10621171031004,2016-2017,237,72.15,N
10621171031053,2016-2017,2902,43.38,N
10621251030113,2016-2017,60,76.67,Y
10621251030477,2016-2017,26,100.0,Y
10621251030873,2016-2017,1,100.0,Y
10621251031376,2016-2017,1183,76.5,Y
10621580108977,2016-2017,14,92.86,Y
10621580120246,2016-2017,2,50.0,N
10621581031954,2016-2017,12,83.33,Y
10621581032150,2016-2017,753,73.44,N
10621660108555,2016-2017,239,80.75,Y
10621660114355,2016-2017,260,75.0,Y
10621660114553,2016-2017,474,9.92,N
10621660120964,2016-2017,52,98.08,Y
10621660132134,2016-2017,226,80.97,Y
10621661030279,2016-2017,2545,59.92,N
10621661030287,2016-2017,271,92.99,Y
10621661030295,2016-2017,1073,92.54,Y
10621661030584,2016-2017,523,95.41,Y
10621661030642,2016-2017,184,91.85,Y
10621661030675,2016-2017,2770,91.34,Y
10621661030717,2016-2017,31,90.32,Y
10621661030840,2016-2017,328,96.95,Y
10621661031632,2016-2017,148,90.54,Y
10621661031897,2016-2017,2555,78.04,Y
10621661032507,2016-2017,2319,90.94,Y
10621661032911,2016-2017,1806,85.22,Y
10621661034214,2016-2017,1794,96.88,Y
10621661035831,2016-2017,2141,93.74,Y
10621666112619,2016-2017,26,76.92,Y
10622570124727,2016-2017,39,35.9,N
10622571033695,2016-2017,1083,38.78,N
10622571033729,2016-2017,38,81.58,Y
10622650108092,2016-2017,648,96.76,Y
10622650116640,2016-2017,61,70.49,N
10622650126292,2016-2017,157,82.17,Y
10622651030378,2016-2017,116,95.69,Y
10622651033703,2016-2017,100,95.0,Y
10622651035310,2016-2017,1787,78.74,Y
10622811033950,2016-2017,186,84.41,Y
10623310130880,2016-2017,40,62.5,N
10623640126870,2016-2017,47,95.74,Y
10623641034990,2016-2017,870,95.63,Y
10623800124982,2016-2017,421,94.54,Y
10624141030451,2016-2017,73,84.93,Y
10624141030766,2016-2017,176,45.45,N
10624141030824,2016-2017,40,97.5,Y
10624141036086,2016-2017,81,87.65,Y
10624141036094,2016-2017,2903,76.4,Y
10624301030758,2016-2017,139,87.05,Y
10624301036607,2016-2017,64,92.19,Y
10624301036672,2016-2017,1758,72.64,N
10625396112387,2016-2017,204,90.69,Y
10625470120535,2016-2017,679,77.61,Y
10625470127159,2016-2017,27,85.19,Y
10625470135103,2016-2017,15,73.33,N
10738091030121,2016-2017,658,85.87,Y
10738091030147,2016-2017,12,100.0,Y
10739650114751,2016-2017,13,100.0,Y
10739651030386,2016-2017,211,58.29,N
10739651030626,2016-2017,4201,59.03,N
10739651035112,2016-2017,121,84.3,Y
10739991033422,2016-2017,49,87.76,Y
10739991033430,2016-2017,1416,78.88,Y
10751271030261,2016-2017,18,100.0,Y
10751271030493,2016-2017,867,100.0,Y
10751271030725,2016-2017,3,100.0,Y
10752341030352,2016-2017,8,100.0,Y
10752341037456,2016-2017,438,95.21,Y
10752751030139,2016-2017,38,57.89,N
10752751036938,2016-2017,435,37.47,N
10754081030253,2016-2017,21,85.71,Y
10754081035575,2016-2017,565,82.83,Y
10755981030535,2016-2017,594,87.88,Y
10755981030543,2016-2017,18,94.44,Y
10767780108993,2016-2017,5,100.0,Y
10767780122473,2016-2017,121,90.91,Y
10767781030774,2016-2017,164,100.0,Y
10767781038298,2016-2017,9,66.67,N
10767781038306,2016-2017,1031,85.65,Y
11101160130724,2016-2017,102,85.29,Y
11101160130807,2016-2017,67,28.36,N
11101161130087,2016-2017,4,100.0,Y
11101161130103,2016-2017,44,56.82,N
11101166077184,2016-2017,22,68.18,N
11626461136209,2016-2017,72,65.28,N
11626531130046,2016-2017,1,100.0,Y
11626531132109,2016-2017,21,80.95,Y
11626611130038,2016-2017,19,52.63,N
11626611132851,2016-2017,458,52.4,N
11754811130012,2016-2017,28,92.86,Y
11754811135656,2016-2017,723,68.05,N
11765621130053,2016-2017,11,72.73,N
11765621133701,2016-2017,276,70.29,N
12101240106153,2016-2017,57,84.21,Y
12101240106161,2016-2017,44,88.64,Y
12101240106179,2016-2017,18,88.89,Y
12101240106195,2016-2017,10,100.0,Y
12101240106203,2016-2017,13,100.0,Y
12101240134163,2016-2017,128,38.28,N
12101246077192,2016-2017,35,28.57,N
12626870107110,2016-2017,92,53.26,N
12626870124263,2016-2017,40,72.5,N
12626871230044,2016-2017,46,76.09,Y
12626871230051,2016-2017,51,70.59,N
12626871230705,2016-2017,857,30.34,N
12626871235209,2016-2017,567,33.51,N
12628100108688,2016-2017,164,39.63,N
12628101233352,2016-2017,73,68.49,N
12628101233402,2016-2017,866,50.46,N
12629011230028,2016-2017,26,96.15,Y
12629011234004,2016-2017,250,99.2,Y
12629016007967,2016-2017,1,100.0,Y
12629271230150,2016-2017,54,70.37,N
12630320111203,2016-2017,167,67.66,N
12630401230010,2016-2017,6,66.67,N
12630401237007,2016-2017,178,41.57,N
12753741232909,2016-2017,153,39.87,N
12753821230085,2016-2017,11,27.27,N
12753821230135,2016-2017,202,73.27,N
12755151232057,2016-2017,67,80.6,Y
12755151232206,2016-2017,1102,50.54,N
13101320131094,2016-2017,198,94.95,Y
13101320134379,2016-2017,56,100.0,Y
13101321330117,2016-2017,8,100.0,Y
13101326069272,2016-2017,93,56.99,N
13630811330141,2016-2017,11,81.82,Y
13630811331354,2016-2017,163,92.64,Y
13630811331404,2016-2017,1672,74.28,N
13630990112318,2016-2017,1,100.0,Y
13630991332154,2016-2017,187,99.47,Y
13630991332204,2016-2017,3031,89.77,Y
13631071332501,2016-2017,382,80.1,Y
13631150131243,2016-2017,37,75.68,Y
13631151330133,2016-2017,2095,71.93,N
13631151333004,2016-2017,1872,75.48,Y
13631151333558,2016-2017,115,73.04,N
13631490125922,2016-2017,12,8.33,N
13631491335306,2016-2017,545,69.54,N
13631491337138,2016-2017,23,82.61,Y
13631641331115,2016-2017,56,60.71,N
13631641335900,2016-2017,1214,40.28,N
13632141330018,2016-2017,27,96.3,Y
13632141337609,2016-2017,173,94.22,Y
14101400117994,2016-2017,1356,93.51,Y
14101400128447,2016-2017,237,96.62,Y
14101400128454,2016-2017,350,96.29,Y
14101401430073,2016-2017,3,33.33,N
14632481431352,2016-2017,39,76.92,Y
14632711430065,2016-2017,1,100.0,Y
14632711438308,2016-2017,9,55.56,N
14632891434901,2016-2017,87,68.97,N
14632971436203,2016-2017,26,50.0,N
14766870119081,2016-2017,27,33.33,N
14766870125047,2016-2017,6,66.67,N
14766871430057,2016-2017,25,64.0,N
14766871430107,2016-2017,3,66.67,N
14766871431600,2016-2017,548,44.71,N
15101570119669,2016-2017,461,82.65,Y
15101571530302,2016-2017,267,100.0,Y
15101571530310,2016-2017,796,94.22,Y
15101571530492,2016-2017,259,28.96,N
15101576069496,2016-2017,28,82.14,Y
15634120100529,2016-2017,1391,88.35,Y
15634120116384,2016-2017,1124,95.02,Y
15634121531656,2016-2017,193,93.78,Y
15634121531672,2016-2017,1486,91.86,Y
15635290100198,2016-2017,2417,82.29,Y
15635290110999,2016-2017,2360,23.94,N
15635290116392,2016-2017,2069,55.34,N
15635290116400,2016-2017,2277,91.66,Y
15635290125062,2016-2017,291,88.32,Y
15635291530021,2016-2017,81,87.65,Y
15635291530047,2016-2017,131,87.02,Y
15635291530112,2016-2017,272,63.97,N
15635291530252,2016-2017,2624,88.95,Y
15635291530344,2016-2017,2158,33.09,N
15635291530369,2016-2017,2001,25.24,N
15635291530385,2016-2017,2549,71.32,N
15635291530435,2016-2017,423,72.1,N
15635291530476,2016-2017,2042,21.6,N
15635291530708,2016-2017,2835,68.54,N
15635291532290,2016-2017,2145,82.28,Y
15635291532605,2016-2017,2045,84.01,Y
15635291533330,2016-2017,1984,65.12,N
15635291533538,2016-2017,433,63.97,N
15635291534775,2016-2017,1669,74.36,N
15635291535087,2016-2017,1574,82.02,Y
15635291535392,2016-2017,2028,92.6,Y
15635291536325,2016-2017,239,84.1,Y
15635291536606,2016-2017,2058,82.56,Y
15636280127183,2016-2017,533,67.73,N
15636280127209,2016-2017,383,69.97,N
15636280134312,2016-2017,173,30.06,N
15636281533843,2016-2017,81,82.72,Y
15636770114512,2016-2017,486,73.66,N
15636771534460,2016-2017,176,84.66,Y
15636851530997,2016-2017,178,56.74,N
15636851531987,2016-2017,373,9.92,N
15637761530039,2016-2017,67,73.13,N
15637761530377,2016-2017,73,54.79,N
15637761534957,2016-2017,819,67.64,N
15638181530138,2016-2017,65,80.0,Y
15638181535905,2016-2017,968,59.19,N
15638261530245,2016-2017,63,55.56,N
15638261536135,2016-2017,1291,31.91,N
15638591530351,2016-2017,139,88.49,Y
15638591536440,2016-2017,1716,79.9,Y
15737421530054,2016-2017,93,58.06,N
15737421531367,2016-2017,1407,36.6,N
15737426009328,2016-2017,2,0.0,N
15737426009617,2016-2017,7,57.14,N
15739081530146,2016-2017,53,90.57,Y
15739081530229,2016-2017,12,33.33,N
15739081534155,2016-2017,907,86.11,Y
15751681530401,2016-2017,285,57.54,N
16101651630102,2016-2017,51,100.0,Y
16101651630193,2016-2017,48,100.0,Y
16101656069298,2016-2017,83,61.45,N
16638750101717,2016-2017,99,69.7,N
16638750112698,2016-2017,273,55.68,N
16638910110858,2016-2017,4,100.0,Y
16638910122820,2016-2017,9,100.0,Y
16638911632140,2016-2017,33,84.85,Y
16638911632207,2016-2017,858,79.72,Y
16639250118919,2016-2017,840,55.12,N
16639251630060,2016-2017,41,90.24,Y
16639251630151,2016-2017,6,100.0,Y
