cds14,year,ela_pct_met,math_pct_met,ela_mean,math_mean,ela_n,math_n
01100170112607,2018,45.83,19.79,2577.2,2539.2,96,96
01100170130401,2018,0.0,0.0,2415.8,2415.5,14,17
01100170130419,2018,7.41,0.0,2457.6,2410.8,27,23
01316170131763,2018,7.89,5.41,2445.4,2463.2,38,38
01611190106401,2018,93.18,88.64,2686.5,2715.0,44,44
01611190119222,2018,30.0,5.0,2525.2,2496.5,20,20
01611190130229,2018,74.49,58.35,2640.4,2645.1,392,401
01611190130609,2018,78.79,37.5,2649.6,2589.8,34,32
01611190130625,2018,21.74,0.0,2474.0,2418.1,25,14
01611190132142,2018,63.68,42.86,2617.3,2595.8,223,224
01611190134304,2018,25.0,8.33,2514.5,2458.0,48,48
01611270130450,2018,74.17,62.77,2645.0,2670.2,271,274
01611430122697,2018,43.28,12.5,2551.0,2485.5,67,64
01611430131177,2018,67.5,54.04,2629.1,2622.0,604,571
01611500132225,2018,70.45,59.97,2631.9,2644.9,616,617
01611500135533,2018,13.33,1.69,2468.3,2441.6,60,59
01611680132746,2018,36.84,26.32,2551.4,2549.4,38,38
01611760130062,2018,86.67,73.57,2699.3,2703.3,525,526
01611760130138,2018,14.63,4.94,2491.8,2446.5,82,81
01611760130435,2018,44.0,0.0,2537.0,2450.2,25,25
01611760130534,2018,62.96,40.74,2619.7,2572.1,54,54
01611760134270,2018,84.04,72.58,2686.1,2704.5,495,496
01611760134452,2018,65.2,43.21,2622.1,2593.8,273,280
01611760135244,2018,94.09,94.12,2732.9,2782.1,474,476
01611760138693,2018,72.41,53.32,2648.0,2626.5,435,437
01611920108670,2018,77.86,48.94,2652.4,2613.6,140,141
01611920113902,2018,62.26,25.47,2607.8,2547.9,106,106
01611920127944,2018,51.28,24.32,2569.9,2543.3,40,37
01611920133009,2018,7.84,0.0,2438.7,2402.8,52,48
01611920133629,2018,51.86,22.9,2583.2,2538.0,349,345
01611920135319,2018,58.39,33.66,2596.4,2565.9,437,406
01611920138339,2018,30.91,11.18,2512.8,2480.6,318,340
01612000130393,2018,32.56,11.11,2538.6,2503.0,43,45
01612000132670,2018,8.16,2.08,2435.1,2413.5,54,54
01612000133397,2018,66.67,51.99,2620.1,2610.0,528,527
01612000134536,2018,64.71,47.94,2616.9,2613.4,408,413
01612340130054,2018,52.38,21.86,2576.2,2533.8,402,398
01612340135426,2018,22.22,0.0,2488.0,2459.7,27,28
01612420110460,2018,8.47,0.0,2468.6,2427.9,59,59
01612420126763,2018,20.59,3.03,2504.5,2452.3,34,33
01612420134668,2018,74.44,40.69,2635.7,2595.2,810,806
