cds14,year,ela_pct_met,math_pct_met,ela_mean,math_mean,ela_n,math_n
01100170112607,2017,42.86,18.89,2579.3,2522.7,91,90
01100170130401,2017,0.0,0.0,2412.8,2404.5,21,24
01100170130419,2017,11.76,0.0,2463.2,2422.7,17,20
01316170131763,2017,6.45,0.0,2443.8,2434.2,31,29
01611190106401,2017,88.89,84.44,2688.5,2701.8,45,45
01611190119222,2017,61.54,24.0,2598.0,2532.8,26,25
01611190130229,2017,75.66,58.43,2651.0,2644.5,419,421
01611190130609,2017,77.5,37.84,2655.6,2610.2,40,37
01611190130625,2017,11.11,5.0,2468.2,2438.9,19,22
01611190132142,2017,57.83,36.14,2592.2,2575.2,249,249
01611190134304,2017,36.59,9.76,2549.4,2484.0,41,41
01611270130450,2017,83.33,74.3,2676.5,2693.7,252,250
01611430122697,2017,35.44,9.09,2541.2,2499.8,80,77
01611430131177,2017,58.52,41.08,2599.2,2590.7,587,539
01611500132225,2017,70.42,57.06,2632.6,2640.4,667,660
01611500135533,2017,25.42,0.0,2524.0,2458.1,59,58
01611680132746,2017,45.0,12.2,2568.5,2499.1,40,41
01611760130062,2017,83.94,67.76,2683.5,2685.9,493,492
01611760130138,2017,22.41,3.39,2502.9,2476.6,58,59
01611760130534,2017,55.71,24.29,2591.5,2535.8,70,70
01611760134270,2017,85.57,72.19,2689.8,2696.2,596,597
01611760134452,2017,65.71,40.91,2618.5,2586.6,347,353
01611760135244,2017,94.27,91.3,2728.4,2772.6,524,518
01611760138693,2017,77.97,54.41,2658.9,2639.3,454,454
01611920108670,2017,84.4,58.45,2667.4,2640.9,141,142
01611920113902,2017,79.25,32.71,2653.5,2573.2,107,107
01611920127944,2017,67.65,20.59,2616.6,2545.5,34,34
01611920133009,2017,7.27,0.0,2426.8,2383.7,55,56
01611920133629,2017,51.57,21.2,2576.2,2517.9,382,382
01611920135319,2017,57.05,24.57,2593.4,2546.8,462,460
01611920138339,2017,36.91,15.58,2538.7,2490.0,298,353
01612000120931,2017,65.63,40.74,2627.9,2567.1,32,27
01612000130393,2017,44.44,9.68,2571.1,2527.5,36,31
01612000132670,2017,4.76,0.0,2420.2,2388.3,42,40
01612000133397,2017,73.21,54.73,2637.5,2629.9,489,486
01612000134536,2017,67.4,47.79,2622.9,2605.3,454,452
01612340130054,2017,62.5,25.0,2614.7,2549.7,400,400
01612340130484,2017,,20.0,,2515.5,,15
01612340135426,2017,25.0,0.0,2516.1,2439.4,36,33
01612420110460,2017,7.55,0.0,2461.8,2418.2,53,51
01612420126763,2017,28.26,4.35,2541.7,2479.8,46,46
01612420134668,2017,72.41,40.4,2624.9,2598.6,888,891
01612590100065,2017,65.38,26.92,2606.7,2559.9,78,78
01612590100701,2017,41.3,10.87,2540.8,2497.0,47,46
01612590106906,2017,60.61,21.21,2581.3,2555.7,33,33
01612590108944,2017,90.0,47.46,2664.3,2634.7,60,60
01612590110189,2017,30.43,1.39,2525.6,2438.2,69,72
01612590111856,2017,64.29,63.89,2626.4,2651.9,71,72
01612590112797,2017,42.42,22.73,2562.2,2531.2,66,66
01612590114868,2017,79.13,64.35,2653.8,2657.0,115,115
01612590115238,2017,72.73,22.73,2619.2,2561.5,66,66
01612590115667,2017,0.0,3.33,2391.8,2434.9,86,91
01612590118224,2017,65.75,28.77,2631.2,2565.7,73,73
01612590118653,2017,3.03,2.94,2400.7,2369.3,33,34
01612590125161,2017,1.25,1.14,2417.2,2411.6,81,88
01612590125716,2017,15.49,2.78,2480.0,2433.4,142,144
01612590126748,2017,62.3,26.67,2604.3,2558.7,61,60
01612590130179,2017,19.35,0.0,2461.5,2436.8,31,31
01612590130575,2017,42.65,10.29,2557.3,2503.0,68,68
01612590130617,2017,45.71,16.19,2567.3,2533.0,105,105
01612590130666,2017,70.59,53.85,2640.5,2634.7,51,52
01612590132555,2017,77.78,44.44,2670.6,2614.0,18,18
01612590132688,2017,5.13,0.0,2443.1,2396.1,41,39
01612590135905,2017,40.31,19.81,2553.3,2511.6,325,319
01612590136051,2017,59.29,28.35,2596.2,2540.7,453,449
01612590137943,2017,49.2,13.49,2565.8,2479.0,285,269
01612593030772,2017,67.37,28.13,2627.1,2554.3,95,96
01612596066450,2017,43.04,15.19,2552.4,2526.1,79,80
01612596114011,2017,30.77,8.33,2530.7,2488.5,26,24
01612750130286,2017,75.0,33.33,2604.0,2546.3,16,15
01612750136515,2017,93.3,73.6,2704.2,2690.5,180,180
01612910134528,2017,1.49,0.0,2447.2,2420.8,68,70
01612910137588,2017,55.02,22.1,2591.5,2536.6,618,622
01613090111799,2017,45.45,7.14,2576.8,2483.9,44,42
01613090114421,2017,78.15,53.78,2664.6,2617.8,119,119
