cds14,year,ela_pct_met,math_pct_met,ela_mean,math_mean,ela_n,math_n
01100170109835,2015,29.0,5.0,2537.3,2476.1,57,57
01100170112607,2015,38.0,8.0,2543.4,2487.1,82,85
01100170118489,2015,48.0,21.0,2571.8,2564.9,58,59
01100170130401,2015,3.0,3.0,2414.5,2384.9,44,43
01100170130419,2015,5.0,0.0,2449.4,2396.5,46,45
01316170131763,2015,3.0,3.0,2390.3,2419.7,42,43
01611190106401,2015,97.0,92.0,2702.4,2730.3,38,38
01611190119222,2015,63.0,29.0,2618.5,2564.2,29,28
01611190130229,2015,73.0,56.0,2639.7,2628.3,344,343
01611190130609,2015,88.0,57.0,2693.7,2638.0,49,49
01611190130625,2015,0.0,0.0,2408.1,2402.7,34,32
01611190132878,2015,62.0,35.0,2608.8,2581.2,217,219
01611190134304,2015,11.0,0.0,2468.5,2445.3,34,34
01611270130450,2015,71.0,63.0,2642.0,2672.2,234,237
01611430122697,2015,51.0,11.0,2576.9,2511.8,71,70
01611430131177,2015,67.0,44.0,2625.3,2602.3,698,685
01611430134924,2015,0.0,5.0,2394.5,2440.8,27,29
01611500132225,2015,73.0,51.0,2638.4,2626.9,522,510
01611500135533,2015,7.0,5.0,2458.7,2456.4,60,63
01611680132746,2015,47.0,12.0,2570.6,2508.9,51,51
01611760130062,2015,78.0,58.0,2651.8,2647.1,425,424
01611760130138,2015,10.0,2.0,2464.8,2455.6,106,107
01611760130435,2015,,33.0,,2526.6,,12
01611760130534,2015,63.0,11.0,2619.0,2529.7,29,30
01611760134270,2015,76.0,68.0,2654.6,2688.6,478,479
01611760134452,2015,68.0,37.0,2619.5,2574.2,314,313
01611760135244,2015,92.0,90.0,2711.6,2763.2,529,529
01611760138693,2015,61.0,44.0,2612.1,2604.2,354,354
01611920108670,2015,77.0,57.0,2643.6,2636.8,117,116
01611920113902,2015,78.0,43.0,2636.1,2597.3,111,111
01611920127944,2015,45.0,31.0,2597.2,2528.8,15,14
01611920133009,2015,0.0,0.0,2416.3,2411.0,52,50
01611920133629,2015,49.0,18.0,2578.3,2529.5,354,352
01611920135319,2015,64.0,23.0,2603.2,2557.0,408,406
01611920138339,2015,33.0,13.0,2534.4,2505.9,266,287
01612000130393,2015,53.0,43.0,2604.1,2580.4,15,14
01612000132670,2015,15.0,2.0,2510.7,2478.1,55,53
01612000133397,2015,77.0,51.0,2648.9,2631.5,458,454
01612000134536,2015,67.0,49.0,2625.6,2605.7,386,382
01612340130054,2015,62.0,26.0,2605.7,2561.3,449,450
01612340130484,2015,33.0,,2562.7,,13,
01612340135426,2015,0.0,,2456.1,,33,
01612420110460,2015,3.0,0.0,2479.4,2435.7,44,45
01612420126763,2015,27.0,0.0,2536.4,2468.5,53,52
01612420134668,2015,60.0,36.0,2600.8,2585.9,859,862
01612590100065,2015,71.0,44.0,2616.5,2585.6,73,73
01612590100701,2015,0.0,,2463.4,,18,
01612590106906,2015,36.0,16.0,2560.8,2525.7,25,25
01612590108944,2015,76.0,53.0,2627.4,2609.9,62,62
01612590110189,2015,12.0,4.0,2484.4,2460.1,51,51
01612590111856,2015,77.0,70.0,2650.0,2684.5,31,30
01612590112797,2015,47.0,27.0,2562.4,2536.1,58,57
01612590114868,2015,94.0,72.0,2693.6,2696.9,67,67
01612590115238,2015,21.0,6.0,2505.5,2491.6,55,58
01612590115667,2015,3.0,3.0,2421.9,2418.5,68,62
01612590118224,2015,43.0,12.0,2562.0,2507.5,70,70
01612590118653,2015,4.0,,2447.1,,35,
01612590125161,2015,16.0,4.0,2491.5,2463.2,124,124
01612590125716,2015,12.0,1.0,2473.7,2430.5,155,148
01612590126748,2015,60.0,18.0,2601.5,2531.9,82,81
01612590130146,2015,0.0,0.0,2417.6,2396.1,56,54
01612590130179,2015,8.0,,2482.9,,37,
01612590130575,2015,21.0,12.0,2513.5,2506.1,66,66
01612590130617,2015,50.0,31.0,2591.3,2567.2,72,72
01612590130666,2015,68.0,26.0,2614.3,2564.9,85,84
01612590135905,2015,50.0,16.0,2561.3,2525.7,294,327
01612590136051,2015,48.0,31.0,2566.3,2553.1,469,459
01612590137943,2015,46.0,16.0,2563.2,2521.0,288,286
01612593030772,2015,83.0,47.0,2678.6,2604.1,79,79
01612596114011,2015,25.0,0.0,2543.8,2486.9,25,20
01612750130286,2015,50.0,10.0,2585.4,2539.2,20,20
01612750136515,2015,94.0,82.0,2709.6,2717.4,163,156
01612910134528,2015,0.0,,2399.6,,43,
01612910137588,2015,53.0,20.0,2583.9,2517.3,580,585
01613090111799,2015,33.0,13.0,2545.3,2507.6,25,25
01613090114421,2015,79.0,40.0,2659.8,2599.9,121,121
01613090130849,2015,47.0,30.0,2551.4,2565.1,424,421
01613090137745,2015,7.0,3.0,2469.2,2434.6,59,53
01613090137810,2015,41.0,18.0,2561.3,2525.4,275,277
01750930132704,2015,85.0,62.0,2672.1,2661.3,476,477
01750930138453,2015,32.0,0.0,2520.1,2454.2,28,28
01751010130096,2015,80.0,61.0,2670.2,2657.7,478,472
01751010130252,2015,36.0,3.0,2547.3,2471.4,34,35
01751010130583,2015,93.0,78.0,2712.0,2710.3,612,605
01766530120931,2015,67.0,35.0,2610.1,2573.3,89,89
03739810330019,2015,14.0,,2473.4,,12,
03739810330753,2015,69.0,37.0,2619.9,2592.1,139,138
03739810334755,2015,49.0,11.0,2571.7,2504.0,106,102
04100410114991,2015,63.0,26.0,2610.8,2558.5,57,57
04100410430066,2015,7.0,,2433.6,,15,
04100410430090,2015,55.0,20.0,2603.2,2540.8,41,40
04614080430827,2015,50.0,12.0,2562.9,2527.7,28,27
04614240120394,2015,92.0,48.0,2679.7,2626.2,98,97
04614240430199,2015,24.0,,2494.3,,21,
04614240431502,2015,14.0,2.0,2461.4,2424.0,67,66
04614240431676,2015,71.0,44.0,2631.2,2603.4,390,395
04614240437558,2015,70.0,38.0,2616.5,2593.8,377,379
04614320433201,2015,71.0,26.0,2618.7,2560.7,62,62
04615150434803,2015,51.0,20.0,2582.5,2533.5,219,219
04615150435602,2015,55.0,23.0,2590.8,2549.5,238,238
04615150437566,2015,9.0,0.0,2450.2,2412.6,60,61
04615310121715,2015,38.0,5.0,2559.5,2505.1,21,21
04615310432856,2015,6.0,0.0,2447.9,2412.0,50,50
04615310437350,2015,59.0,29.0,2595.7,2546.9,244,246
04615316112585,2015,38.0,6.0,2547.4,2474.4,22,20
04755070433953,2015,54.0,31.0,2594.1,2571.0,160,160
05100580530154,2015,40.0,6.0,2565.1,2498.8,48,48
05615560532507,2015,46.0,25.0,2570.6,2555.9,153,153
05615640530022,2015,0.0,0.0,2476.8,2462.5,18,18
05615640531509,2015,54.0,22.0,2587.4,2535.1,226,226
06615980631259,2015,66.0,24.0,2607.4,2566.4,69,70
06616060634758,2015,45.0,14.0,2562.1,2510.7,29,29
06616140635250,2015,46.0,22.0,2570.0,2541.9,106,107
06616220637504,2015,49.0,10.0,2565.0,2504.7,81,81
07100740114470,2015,69.0,42.0,2640.3,2602.8,81,81
07100740120444,2015,6.0,0.0,2442.7,2405.2,47,46
07100740730242,2015,0.0,,2430.9,,17,
07100740730614,2015,14.0,,2477.1,,22,
07100740731380,2015,78.0,39.0,2645.7,2588.1,461,461
07616300107524,2015,55.0,12.0,2597.4,2522.2,20,20
07616300730283,2015,82.0,74.0,2666.8,2684.0,288,288
07616300731125,2015,86.0,74.0,2677.5,2697.4,188,182
07616300733725,2015,88.0,63.0,2669.4,2657.6,285,285
07616300734244,2015,88.0,75.0,2682.1,2697.5,247,242
07616480110494,2015,11.0,0.0,2501.0,2426.6,97,96
07616480117218,2015,78.0,36.0,2650.1,2583.9,144,144
07616480730101,2015,16.0,0.0,2484.4,2429.4,78,79
07616480730259,2015,40.0,4.0,2554.2,2491.1,66,64
07616480730465,2015,49.0,20.0,2578.8,2531.6,587,583
07616480730861,2015,49.0,14.0,2566.9,2505.4,344,345
07616630130930,2015,24.0,0.0,2509.9,2464.6,42,40
07616970737023,2015,58.0,26.0,2595.5,2564.0,133,133
07616970737619,2015,20.0,0.0,2488.7,2448.3,15,14
07617210107797,2015,79.0,44.0,2642.5,2601.6,584,581
07617210730457,2015,47.0,20.0,2571.1,2541.9,552,552
07617210730572,2015,44.0,11.0,2564.9,2496.5,95,90
07617210733980,2015,64.0,31.0,2613.2,2568.8,570,562
07617210733998,2015,14.0,0.0,2497.0,2427.1,59,59
07617390730440,2015,19.0,4.0,2507.7,2472.4,30,29
07617390730473,2015,36.0,,2548.9,,14,
07617390730549,2015,64.0,46.0,2617.6,2605.8,213,223
07617540730044,2015,83.0,60.0,2669.1,2642.6,377,376
07617540730317,2015,71.0,33.0,2642.4,2573.3,19,17
07617540730333,2015,0.0,,2453.6,,15,
07617540730341,2015,0.0,0.0,2445.1,2394.4,14,13
07617540730358,2015,32.0,4.0,2533.9,2453.1,26,25
07617540730424,2015,4.0,,2442.2,,27,
07617540731646,2015,65.0,58.0,2610.3,2641.9,412,404
07617540731836,2015,50.0,34.0,2573.9,2576.0,305,298
07617540734566,2015,34.0,13.0,2543.6,2510.2,266,270
07617540734764,2015,2.0,0.0,2414.8,2389.2,84,85
07617540737809,2015,38.0,15.0,2546.8,2512.6,190,191
07617880730184,2015,3.0,2.0,2435.0,2424.4,90,88
07617880735407,2015,28.0,13.0,2519.2,2509.8,607,602
07617960101477,2015,54.0,18.0,2591.3,2563.1,120,120
07617960730275,2015,2.0,0.0,2414.2,2385.7,59,58
