campus,ceeb,cds14,school_name,city,county,applicants_2325,admits_2325,admit_rate_2325,ela_pct_met_avg,math_pct_met_avg,avg_pct_met,upp_pct_2425,lcff_plus,ag_cohort_2425,ag_met_2425,admits_per_eligible,match_method,match_score
Berkeley,052075,43696094334728,MOUNTAIN VIEW HIGH SCHOOL,Mountain View,Santa Clara,700,92,13.14,82.48,69.07,75.78,15.23,N,584,461,0.1996,gardiner_seed,1.00
Berkeley,052683,19648651995588,PALOS VERDES PENINSULA HS,Rolling Hills Estat,Los Angeles,699,102,14.59,87.75,74.87,81.31,14.65,N,572,492,0.2073,gardiner_seed,1.00
Berkeley,051978,43733874334470,MILPITAS HIGH SCHOOL,Milpitas,Santa Clara,691,78,11.29,76.29,56.72,66.5,46.86,N,686,385,0.2026,gardiner_seed,1.00
Berkeley,050500,01611500132225,CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,689,66,9.58,68.83,50.22,59.53,41.2,N,668,447,0.1477,gardiner_seed,1.00
Berkeley,050727,07618040734368,MONTE VISTA HIGH SCHOOL,Danville,Contra Costa,670,91,13.58,85.84,64.08,74.96,6.71,N,519,350,0.26,gardiner_seed,1.00
Berkeley,050730,57726785732201,DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,662,98,14.8,79.32,65.55,72.44,31.85,N,554,437,0.2243,gardiner_seed,1.00
Berkeley,052950,38684783839081,GEORGE WASHINGTON HIGH SCHOOL,San Francisco,San Francisco,636,67,10.53,74.52,56.05,65.28,53.92,N,519,345,0.1942,gardiner_seed,1.00
Berkeley,052986,37682963731528,WESTVIEW HIGH SCHOOL,San Diego,San Diego,627,83,13.24,88.14,71.49,79.81,12.95,N,537,442,0.1878,gardiner_seed,1.00
Berkeley,053343,43695344337762,SARATOGA HIGH SCHOOL,Saratoga,Santa Clara,602,109,18.11,86.74,84.08,85.41,5.68,N,303,260,0.4192,gardiner_seed,1.00
Berkeley,054813,39767600128967,MOUNTAIN HOUSE HIGH SCHOOL,Mountain House,San Joaquin,602,63,10.47,77.77,62.91,70.34,13.14,N,582,402,0.1567,gardiner_seed,1.00
Berkeley,051855,43695344334371,LOS GATOS HIGH SCHOOL,Los Gatos,Santa Clara,599,85,14.19,80.22,63.13,71.68,7.89,N,520,424,0.2005,gardiner_seed,1.00
