campus,ceeb,cds14,school_name,city,county,applicants,admits,admit_rate,ela_pct_met,math_pct_met,avg_pct_met,upp_pct,lcff_plus,enroll_9_12,ag_cohort_2425,ag_met_2425,admits_per_eligible,match_method,match_score
Davis,054245,43104390113431,UNIVERSITY PREP ACADEMY,San Jose,Santa Clara,169,59,34.911,84.91,64.15,74.53,31.38,N,478,115,115,0.513,fuzzy_name_county,0.94
Davis,050119,44697994430518,APTOS HIGH SCHOOL,Aptos,Santa Cruz,168,76,45.238,52.02,32.56,42.29,48.12,N,1274,290,175,0.4343,fuzzy_name_county,1.00
Davis,050888,36676523630373,ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,168,54,32.143,75.56,43.07,59.32,55.37,N,3446,874,594,0.0909,gardiner_seed,1.00
Davis,050912,34674473430493,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,168,75,44.643,62.07,41.5,51.78,41.0,N,1939,444,192,0.3906,fuzzy_name_county,1.00
Davis,052999,38684783830205,RAOUL WALLENBERG TRADITIONAL,San Francisco,San Francisco,168,69,41.071,59.39,40.24,49.81,57.47,N,522,127,70,0.9857,fuzzy2_token,0.80
Davis,053644,50757395030283,JOHN H PITMAN HIGH SCHOOL,Turlock,Stanislaus,168,76,45.238,52.48,21.76,37.12,67.88,N,1986,479,280,0.2714,fuzzy_name_county,1.00
Davis,050729,30664643038569,DANA HILLS HIGH SCHOOL,Dana Point,Orange,166,56,33.735,72.58,42.57,57.57,43.45,N,1724,436,238,0.2353,gardiner_seed,1.00
Davis,053222,21654662133262,SAN RAFAEL HIGH SCHOOL,San Rafael,Marin,166,57,34.337,46.66,23.13,34.9,75.0,Y,1332,312,135,0.4222,fuzzy_name_county,1.00
Davis,054081,19647330112052,PANORAMA HIGH SCHOOL,Panorama City,Los Angeles,166,65,39.157,39.61,12.58,26.09,97.8,Y,1316,346,223,0.2915,gardiner_seed,1.00
Davis,051825,19647331938885,UNIVERSITY HIGH SCHOOL,Los Angeles,Los Angeles,165,69,41.818,47.44,22.37,34.91,73.07,N,1385,353,205,0.3366,gardiner_seed,1.00
Davis,052590,36678433635042,REDLANDS HIGH SCHOOL,Redlands,San Bernardino,165,77,46.667,75.33,48.42,61.88,62.91,N,2189,509,297,0.2593,gardiner_seed,1.00
Davis,053065,10624141036094,SANGER HIGH SCHOOL,Sanger,Fresno,164,86,52.439,70.84,34.06,52.45,70.53,N,2426,600,354,0.2429,fuzzy_name_county,1.00
